id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
416467479,Sabaton,Night Witches,Heroes,Male/Male Group,2014,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
411810190,Sabaton,Attero Dominatus,Attero Dominatus,Male/Male Group,2006,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
397353733,Sonata Arctica,Shy,Takatalvi,Male/Male Group,2003,Rock/Metal/Power Metal,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/80s
379271428,Running Wild,Riding The Storm,20 Years In History [Disc 1],Male/Male Group,2003,Rock/Metal/Power Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
379265223,Running Wild,Born Bad Dying Worse,Rogues En Vogue,Male/Male Group,2005,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
336632515,Teräsbetoni,Silmä Silmästä,Metallitotuus,Male/Male Group,2005,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
267733713,Powerwolf,Kreuzfeuer,Preachers Of The Night,Male/Male Group,2013,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
237570929,Running Wild,Port Royal,Port Royal,Male/Male Group,2012,Rock/Metal/Power Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
227885176,Machine Men,Man In Chains,Scars And Wounds,Male/Male Group,2004,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
210101534,Running Wild,Ballad Of William Kidd,The Rivalry/Limited Edition,Male/Male Group,1998,Rock/Metal/Power Metal,Excited/Happy Excitement,Fast Tempo/Fast/130s
198817656,Lordi,The Riff,To Beast Or Not To Beast,Male/Male Group,2013,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
192762605,Powerwolf,Living On A Nightmare,Amen a Attack,Male/Male Group,2013,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
191143527,Rage,Straight To Hell,Welcome To The Other Side,Male/Male Group,2001,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
184993252,Iced Earth,Watching Over Me,Something Wicked This Way Comes,Male/Male Group,1998,Rock/Metal/Power Metal,Excited/Happy Excitement,Medium Tempo/Medium Fast/120s
182578496,Turisas,Rasputin,The Varangian Way,Male/Male Group,2007,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
174192362,Powerwolf,Sanctified with Dynamite,Blood of the Saints,Male/Male Group,2011,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
174191933,Powerwolf,All We Need is Blood,Blood of the Saints,Male/Male Group,2011,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
168476193,Iced Earth,Melancholy,Live in Ancient Kourion,Male/Male Group,2013,Rock/Metal/Power Metal,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
166457982,Manowar,Black List,The Lord Of Steel [Retail Edition],Male/Male Group,2012,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
162768439,Teräsbetoni,Orjatar,Metallitotuus,Male/Male Group,2005,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
162600624,Powerwolf,Resurrection By Erection,Bible of the Beast,Male/Male Group,2013,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
162595002,HammerFall,Heeding The Call,Legacy Of Kings,Male/Male Group,1998,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
