id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239315,Exodus,Good Day To Die,Force Of Habit,Male/Male Group,1992,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239279,Sepultura,Refuse/Resist,Chaos A.D.,Male/Male Group,1993,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239038,Metallica,Sweet Amber,St. Anger,Male/Male Group,2003,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
424407050,Machine Head,Imperium,Through The Ashes Of Empires,Male/Male Group,2003,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/120s
418012194,Depressive Age,Weird Boy,Electric Scum,Male/Male Group,1996,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/230s
418008436,Depressive Age,Toyland Hills,Electric Scum,Male/Male Group,1996,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
417987483,Depressive Age,Teenage Temples,Electric Scum,Male/Male Group,1996,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
417987136,Depressive Age,Cairo Crabat,Electric Scum,Male/Male Group,1996,Rock/Metal/Thrash Metal,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
417981804,Depressive Age,Electric Scum,Electric Scum,Male/Male Group,1996,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/210s
402381032,DevilDriver,Head On To Heartache (Let Them Rot),The Last Kind Words,Male/Male Group,2007,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
397575550,Metallica,Wherever I May Roam,Metallica,Male/Male Group,1991,Rock/Metal/Thrash Metal,Rowdy/Confident / Tough,Medium Tempo/Medium/60s
371731033,Soulfly,Umbabarauma,Soulfly,Male/Male Group,1998,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
371731025,Soulfly,Back To The Primitive,Primitive,Male/Male Group,2000,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
364162480,Slayer,Seasons In The Abyss,Seasons In The Abyss,Male/Male Group,1990,Rock/Metal/Thrash Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
314890203,Nuclear Assault,Nuclear War,Game Over,Male/Male Group,2008,Rock/Metal/Thrash Metal,Rowdy/Wild / Rowdy,Fast Tempo/Fast/160s
261175935,Testament,Return To Serenity,The Ritual,Male/Male Group,1992,Rock/Metal/Thrash Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
250491779,Metallica,For Whom The Bell Tolls,Ride The Lightning,Male/Male Group,1984,Rock/Metal/Thrash Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/110s
199007902,Kreator,Your Heaven My Hell,Phantom Antichrist,Male/Male Group,2012,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
195805378,Kreator,Pandemonium,Endorama,Male/Male Group,2015,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
192469714,Conquest,Be My Light,IV,"",2011,Rock/Metal/Thrash Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
182953845,Metallica,The Unnamed Feeling,St. Anger,Male/Male Group,2003,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/70s
170460721,Slayer,Hate Worldwide,World Painted Blood,Male/Male Group,2009,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
167915943,Testament,Return To Serenity,The Ritual,Male/Male Group,1992,Rock/Metal/Thrash Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
166460084,Anthrax,Crush,Volume 8 - The Threat Is Real,Male/Male Group,1998,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/130s
165044717,Machine Head,Desire To Fire,The Burning Red,Male/Male Group,1999,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
