id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239386,Rome,Der Brandtaucher,Masse Mensch Material,Male/Male,2007,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239264,Rome,To Die Among Strangers,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium/60s
456239259,Rome,A Legacy Of Unrest,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
456239261,Rome,One Flesh,L'Assassin,Male/Male,2006,Urban/Contemporary RaB/Soul/Urban AC,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
456239215,Rome,Birds Of Prey,Nera,Male/Male,2010,Urban/Contemporary RaB/Soul/Urban AC,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
456239214,Rome,In Cruel Fire,Die Aesthetik der Herrschaftsfreiheit - Band 1,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
456239213,Rome,Eagle and Serpent,Die Aesthetik der Herrschaftsfreiheit - Band 2 (Aufruhr or a Cross of Fire),Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Sentimental/Gentle Bittersweet,Medium Tempo/Medium Slow/60s
456239199,Rome,To Teach Obedience,Die Aesthetik der Herrschaftsfreiheit - Band 1,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239189,Rome,Fragments,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239188,Rome,Broken,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239187,Rome,Make You a Sword of Me,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
456239182,Rome,The Accidents Of Gesture,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
456239183,Rome,Swords To Rust - Hearts To Dust,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239180,Rome,Das Feuerordal,Masse Mensch Material,Male/Male,2007,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
435335970,Jamie N Commons,The Preacher,Rumble And Sway EP,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Yearning/Sensitive / Exploring,Slow Tempo/Slow/40s
433328636,Maher Zain,Allahi Allah Kiya Karo,Thank You Allah,Male/Male,2011,Urban/Contemporary RaB/Soul/Urban Crossover,Fiery/Passionate Rhythm,Medium Tempo/Medium/80s
424447446,Third Coast Kings,Crush It,Third Coast Kings,"",2012,Urban/Classic RaB/Soul/Funk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
418279921,Jamie N Commons,Lead Me Home (Live At Spotify House),Spotify Sessions,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/60s
399429976,Fantasia,Lock Stock and Two Smoking Barrels - Walk This Land,Cult Movie Themes,Female/Female,2010,Urban/Contemporary RaB/Soul/Urban AC,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
370835441,Isaac Hayes,"Title Theme ""Three Tough Guys""",Double Feature (Three Tough Guys a Truck Turner),Male/Male,2006,Urban/Classic RaB/Soul/Classic Soul,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/110s
276810310,Rome,Querkraft,Confessions D'Un Voleur D'Ames,Male/Male,2007,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
275818874,Martha Reeves a The Vandellas,Nowhere To Run,Classic,Female/Female Group,2009,Urban/Classic RaB/Soul/Classic Motown,Rowdy/Wild / Rowdy,Fast Tempo/Fast/130s
243982140,Maze Feat. Frankie Beverly,Running Away,Live In New Orleans,Male/Male Group,1981,Urban/Classic RaB/Soul/Funk,Cool/Casual Groove,Medium Tempo/Medium Slow/60s
227576094,Boyz II Men,Cold December Nights,Christmas Interpretations,Male/Male Group,1993,Urban/Contemporary RaB/Soul/Urban AC,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
456239181,Rome,One Fire,A Passage to Rhodesia,Male/Male,2014,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
