id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239490,She Loves Me 1994 London Cast,Sounds While Selling,She Loves Me - 1994 London Cast Recording,"",1994,Soundtrack/Original Film/TV Music/General Film Music,Lively/Showy / Rousing,Medium Tempo/Medium/80s
456239356,Tom Waits a Crystal Gayle,Is There Any Way Out Of This Dream?,"Music From The Original Motion Picture ""One From The Heart""",Mixed/Mixed Duo,1991,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Suave / Sultry,Slow Tempo/Slow/40s
456239116,Yo-Yo Ma,Tan Dun: Crouching Tiger Hidden Dragon - The Eternal Vow,Classic Yo-Yo,Mixed/Mixed Group,2001,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
435807724,Various Artists,Погляд,Брат-2,"",2000,Soundtrack/Original Film/TV Music/General Film Music,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
425552593,Various Artists,Skellige,Inspired By The Witcher,"",2007,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
418306416,Nathan Lanier,Sand (Featuring Karen Whipple),Sand (Featuring Karen Whipple) [Single],Male/Male,2013,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
415839503,Paul Haslinger,Sonja's Trial And Execution,Underworld: Rise Of The Lycans Original Score,Male/Male,2008,Soundtrack/Original Film/TV Music/General Film Music,Serious/Serious / Cerebral,Medium Tempo/Medium/60s
414116380,Thomas Newman,Los Muertos Vivos Estan,Spectre [Original Motion Picture Soundtrack],Male/Male,2015,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
408946511,Tuxedomoon / Cult With No Name,Alligator Briefcase,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
408946503,Tuxedomoon / Cult With No Name,Don,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
408923488,Tuxedomoon / Cult With No Name,A Candy Colored Clown,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
408922669,Tuxedomoon / Cult With No Name,Now It's Dark,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
408919789,Tuxedomoon / Cult With No Name,Lumberton,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
408919786,Tuxedomoon / Cult With No Name,The Slow Club,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Peaceful/Reverent / Healing,Medium Tempo/Medium/80s
402665782,Xy,In Aeternum,Sedunum,"",2014,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Dreamy Brooding,Slow Tempo/Very Slow/30s
402664412,Xy,Through Ages,Sedunum,"",2014,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Alienated / Brooding,Fast Tempo/Fast/140s
390849182,Shigeru Umebayashi,Yumeji's Theme [Theme From 'in The Mood For Love'],Yumeji's Theme,Male/Male,2013,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Intimate Bittersweet,Medium Tempo/Medium/60s
383033156,Karel Svoboda,Die Jagd Auf Das Aschenbrödel II,3 Haselnüsse Für Aschenbrödel,Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Empowering/Dramatic Emotion,Medium Tempo/Medium/80s
380154788,Karel Svoboda,Die Jagd Auf Das Aschenbrödel I,3 Haselnüsse Für Aschenbrödel,Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Dark Playful,Medium Tempo/Medium/70s
373394625,Various Artists,Main Title from Children of a Lesser God (1986),Paramount Pictures 90th Anniversary Memorable Scores [Disc 2],Female/Female,2002,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
373068043,Marcin Przybylowicz,The Song Of The Sword-Dancer,The Witcher 3: Wild Hunt (Original Game Soundtrack),"",2015,Soundtrack/Original Film/TV Music/General Film Music,"",""
364665888,The New Broadway Cast Recording,Overture,Anything Goes [New Broadway Cast Recording / 2011],"",2016,Soundtrack/Original Film/TV Music/General Film Music,Lively/Showy / Rousing,Medium Tempo/Medium Fast/110s
359740137,Микаэл Таривердиев,"Песня О Далёкой Родине (Из К/Ф ""Семнадцать Мгновений Весны"")",Запомни Этот Миг. Избранное [Disc 1],Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium/60s
359736257,Микаэл Таривердиев,"Песня О Далёкой Родине (Из К/Ф ""Семнадцать Мгновений Весны"")",Запомни Этот Миг. Избранное [Disc 1],Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium/60s
