id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239539,:Of The Wand And The Moon:,Sunspot,The Lone Descent,"",2011,Traditional/Country/General Country,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239132,Nature Ganganbaigal,Galloping Steeds,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
456239134,Nature Ganganbaigal,Golden Horde,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239131,Nature Ganganbaigal,Legend On Horseback,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239135,Nature Ganganbaigal,Symphony of Steel Pt. 1,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
456239137,Nature Ganganbaigal,Symphony of Steel Pt. 2,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Aggressive/Dark Hard Beat,Fast Tempo/Fast/150s
456239136,Nature Ganganbaigal,Hymn of the Earth,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239133,Nature Ganganbaigal,From Far Away,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Yearning/Energetic Dreamy,Medium Tempo/Medium/70s
456239130,Nature Ganganbaigal,The Expedition,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
431582650,Наследие Вагантов,Таверна,Таверна,"",2008,Traditional/Country/General Country,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
426183793,Corde Oblique,Cantastorie,Volonta d'Arte,"",2008,Traditional/Country/General Country,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
374184317,The Coffinshakers,No Rest For The Wicked,We Are The Undead,"",0,Traditional/Country/General Country,Gritty/Sober / Determined,Medium Tempo/Medium/60s
374180372,Roselit Bone,Slow Hot Death,Blacken a Curl,"",2014,Traditional/Country/General Country,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
372527554,Romowe Rikoito,Bewangiskas Pintegas Pagaūsenis,Undēina,"",2012,Traditional/Country/General Country,"",""
276810610,Nebelung,Mittwinter,Palingenesis,"",2014,Traditional/Country/General Country,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
264240423,Kris Kristofferson,Casey's Last Ride,Kristofferson,Male/Male,1970,Traditional/Country/General Country,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
230318484,Ансамбль песни и пляски Советской армии имени А. В. Александрова,Эй ухнем,Ансамбль имени А.В.Александрова,"",1963,Traditional/Country/General Country,Other,Slow Tempo/Slow/40s
203878082,Botho Lukas Chor,Görg Von Frundsberg Führt Uns An,Wenn Die Landsknecht Singen,"",2014,Traditional/Country/General Country,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
162397339,Jesse Winchester,Step By Step,Let The Rough Side Drag,Male/Male,2008,Traditional/Country/General Country,Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
