id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239386,Rome,Der Brandtaucher,Masse Mensch Material,Male/Male,2007,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239366,Suspekt,Elektra,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Cool Confidence,Medium Tempo/Medium Fast/90s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239264,Rome,To Die Among Strangers,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium/60s
456239259,Rome,A Legacy Of Unrest,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
456239261,Rome,One Flesh,L'Assassin,Male/Male,2006,Urban/Contemporary RaB/Soul/Urban AC,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
456239229,Untergrund Soldaten,Kranke Im Club - Untergrund Soldaten,Kranke Im Club,"",2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/70s
456239226,Käptn Peng a Die Tentakel Von Delphi,U-Boot,Expedition ins O,Male/Male Group,2013,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,"",""
456239215,Rome,Birds Of Prey,Nera,Male/Male,2010,Urban/Contemporary RaB/Soul/Urban AC,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
456239214,Rome,In Cruel Fire,Die Aesthetik der Herrschaftsfreiheit - Band 1,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
456239213,Rome,Eagle and Serpent,Die Aesthetik der Herrschaftsfreiheit - Band 2 (Aufruhr or a Cross of Fire),Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Sentimental/Gentle Bittersweet,Medium Tempo/Medium Slow/60s
456239199,Rome,To Teach Obedience,Die Aesthetik der Herrschaftsfreiheit - Band 1,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239189,Rome,Fragments,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239188,Rome,Broken,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239187,Rome,Make You a Sword of Me,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
456239182,Rome,The Accidents Of Gesture,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
456239183,Rome,Swords To Rust - Hearts To Dust,Flowers From Exile,Male/Male,2005,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239180,Rome,Das Feuerordal,Masse Mensch Material,Male/Male,2007,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
435335970,Jamie N Commons,The Preacher,Rumble And Sway EP,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Yearning/Sensitive / Exploring,Slow Tempo/Slow/40s
433328636,Maher Zain,Allahi Allah Kiya Karo,Thank You Allah,Male/Male,2011,Urban/Contemporary RaB/Soul/Urban Crossover,Fiery/Passionate Rhythm,Medium Tempo/Medium/80s
424447446,Third Coast Kings,Crush It,Third Coast Kings,"",2012,Urban/Classic RaB/Soul/Funk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
423596560,Tim MakCool,Север запад юг восток,Высший пилотаж,"",2014,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/120s
420750675,Wyclef Jean Feat. The Refugee Allstars,Down Lo Ho (Interlude),The Carnival,Male/Male Group,1997,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Other,Slow Tempo/Static/0
418279921,Jamie N Commons,Lead Me Home (Live At Spotify House),Spotify Sessions,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/60s
418025157,Kognitif,Bande De Dégénérés,Monometric,Male/Male,2014,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/60s
416652975,Hunter,Fantasmagoria,Medeis,Male/Male,2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
399429976,Fantasia,Lock Stock and Two Smoking Barrels - Walk This Land,Cult Movie Themes,Female/Female,2010,Urban/Contemporary RaB/Soul/Urban AC,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
379283790,Eminem,Insane,Relapse,Male/Male,2009,Urban/Western Hip-Hop/Rap/Midwestern Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
376327570,DJ Drama,Same Ol' Story,Quality Street Music,Male/Male,2012,Urban/Western Hip-Hop/Rap/Mixtape,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
376327568,DJ Drama,So Many Girls,Quality Street Music,Male/Male Group,2012,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
370838792,Ice Cube,The Predator,The Predator,Male/Male,1992,Urban/Western Hip-Hop/Rap/Gangsta Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
370835441,Isaac Hayes,"Title Theme ""Three Tough Guys""",Double Feature (Three Tough Guys a Truck Turner),Male/Male,2006,Urban/Classic RaB/Soul/Classic Soul,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/110s
370808207,Casual,Не осталось,242 грамма,Male/Male,2014,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/100s
363228134,Nas,Last Words,Nastradamus,Male/Male,1999,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
362244525,Есть Есть Есть,Весна,Есть Есть Есть - Дорогой Мой Человек,"",2011,Urban/Western Hip-Hop/Rap/Mixtape,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
323702005,Wu-Tang Clan,One Blood Under W,The W,Male/Male Group,2000,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
314411450,Last Crewsaders,Beatbox Skit (Various),Never Dated,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,"",""
283999028,Dječaci,Lovrinac,Istina,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
276810310,Rome,Querkraft,Confessions D'Un Voleur D'Ames,Male/Male,2007,Urban/Contemporary RaB/Soul/Urban AC,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
275818874,Martha Reeves a The Vandellas,Nowhere To Run,Classic,Female/Female Group,2009,Urban/Classic RaB/Soul/Classic Motown,Rowdy/Wild / Rowdy,Fast Tempo/Fast/130s
243982140,Maze Feat. Frankie Beverly,Running Away,Live In New Orleans,Male/Male Group,1981,Urban/Classic RaB/Soul/Funk,Cool/Casual Groove,Medium Tempo/Medium Slow/60s
227576094,Boyz II Men,Cold December Nights,Christmas Interpretations,Male/Male Group,1993,Urban/Contemporary RaB/Soul/Urban AC,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
212072860,Смоки Мо,По законам стаи,Кара-Тэ,Male/Male,2004,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
