id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239366,Suspekt,Elektra,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Cool Confidence,Medium Tempo/Medium Fast/90s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239229,Untergrund Soldaten,Kranke Im Club - Untergrund Soldaten,Kranke Im Club,"",2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/70s
456239226,Käptn Peng a Die Tentakel Von Delphi,U-Boot,Expedition ins O,Male/Male Group,2013,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,"",""
423596560,Tim MakCool,Север запад юг восток,Высший пилотаж,"",2014,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/120s
420750675,Wyclef Jean Feat. The Refugee Allstars,Down Lo Ho (Interlude),The Carnival,Male/Male Group,1997,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Other,Slow Tempo/Static/0
418025157,Kognitif,Bande De Dégénérés,Monometric,Male/Male,2014,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/60s
416652975,Hunter,Fantasmagoria,Medeis,Male/Male,2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
379283790,Eminem,Insane,Relapse,Male/Male,2009,Urban/Western Hip-Hop/Rap/Midwestern Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
376327570,DJ Drama,Same Ol' Story,Quality Street Music,Male/Male,2012,Urban/Western Hip-Hop/Rap/Mixtape,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
376327568,DJ Drama,So Many Girls,Quality Street Music,Male/Male Group,2012,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
370838792,Ice Cube,The Predator,The Predator,Male/Male,1992,Urban/Western Hip-Hop/Rap/Gangsta Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
370808207,Casual,Не осталось,242 грамма,Male/Male,2014,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/100s
363228134,Nas,Last Words,Nastradamus,Male/Male,1999,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
362244525,Есть Есть Есть,Весна,Есть Есть Есть - Дорогой Мой Человек,"",2011,Urban/Western Hip-Hop/Rap/Mixtape,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
323702005,Wu-Tang Clan,One Blood Under W,The W,Male/Male Group,2000,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
314411450,Last Crewsaders,Beatbox Skit (Various),Never Dated,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,"",""
283999028,Dječaci,Lovrinac,Istina,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
212072860,Смоки Мо,По законам стаи,Кара-Тэ,Male/Male,2004,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
193282006,Каста,Мы берём это на улицах,Громче воды выше травы,Male/Male Group,2002,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,"",""
192309394,Max Herre,Tabula Rasa Pt. 1,MTV Unplugged Kahedi Radio Show,Male/Male Group,2013,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Sensual/Intimate,Slow Tempo/Slow/40s
165038556,Hairspray Movie Cast,Big Blonde a Beautiful,Hairspray,Female/Female,2007,Urban/Western Hip-Hop/Rap/Old School Hip-Hop/Rap,Sophisticated/Suave / Sultry,Medium Tempo/Medium Slow/50s
