id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239478,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239477,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239476,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239475,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239473,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239472,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239471,Tengger Cavalry,Dance With the Wolf,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
456239470,Tengger Cavalry,Galloping Towards the Great Land,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
456239469,Tengger Cavalry,Battle Song from Far Away,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239467,Tengger Cavalry,Hymn of the Earth,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239466,Tengger Cavalry,Brave,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239465,Tengger Cavalry,Summon the Warrior,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239464,Tengger Cavalry,The Battlefront,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
456239463,Tengger Cavalry,Chant of the Cavalry,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239458,Jack Johnson,No Other Way,In Between Dreams,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Easygoing/Friendly,Medium Tempo/Medium Slow/50s
456239402,Various Artists,Cry For You,Now 70 [Disc 2],Female/Female,2008,Pop/Western Pop/Dance Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
456239347,Los Emisarios,Última Generación,Reino,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239269,Cover Pop,Video Games (Tribute To Lana Del Rey) [Cover Version],Video Games (Tribute To Lana Del Rey) [Cover Version],"",2011,Pop/Western Pop/Pop Vocal,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239232,Various Artists,Schwarz Rot Gold Sind Wir,Ballermann Hits - Die Fußball Party [Disc 3],"",2010,Pop/Western Pop/Pop Vocal,"",""
456239228,Untergrund,Robophilia,Robophilia,"",2015,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239204,Stoned Cobra,Caskets,Armed and Hammered,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239148,Various Artists,Let Yourself In For It (The Color Of Money/Soundtrack Version),The Color Of Money,Male/Male,1986,Pop/Western Pop/Adult Contemporary,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
456239139,Camerton,Bi Mongol hun,Onoodor,"",0,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
456239069,The Psychotic Reaction,I'm Not Ready Yet,Rumble,"",2004,Pop/Western Pop/Pop Vocal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239058,Weh,The Great War,Ingenmannsland,"",2015,Pop/Western Pop/Adult Contemporary,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/80s
437299949,Westlife,We Are One,Westlife,Male/Male Group,1999,Pop/Western Pop/Teen Boy Band,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
437299365,Westlife,We Are One,Westlife,Male/Male Group,1999,Pop/Western Pop/Teen Boy Band,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
425879933,James Asher,Ocean Of Dreams,Feet In The Soil,Male/Male,2002,Pop/Western Pop/World Pop Fusion,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
423957606,Nik Page,Voices from Outer Space,Rocketqueen,"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
419829204,Kristina Train,No Man's Land,Spilt Milk,Female/Female,2009,Pop/Western Pop/Adult Contemporary,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
