id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239427,Die Ärzte,Du Willst Mich Kuessen,Im Schatten Der Aerzte,Male/Male Group,1985,Alternative a Punk/Punk/Pop Punk,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/100s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239229,Untergrund Soldaten,Kranke Im Club - Untergrund Soldaten,Kranke Im Club,"",2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/70s
438990885,Aim,Cold Water Music,Cold Water Music,Male/Male,1999,Electronica/Downtempo Lounge a Ambient/Trip Hop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
418025157,Kognitif,Bande De Dégénérés,Monometric,Male/Male,2014,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/60s
413854450,Black Moon,Back In Town,Alter The Chemistry,Male/Male Group,2006,"",Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
404379346,The Black Keys,Tighten Up,Brothers,Male/Male Duo,2010,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
384681505,Stillste Stund,Wir Sind Energie,Ursprung Paradoxon,Mixed/Mixed Duo,2006,Alternative a Punk/Industrial/Industrial,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/50s
379283790,Eminem,Insane,Relapse,Male/Male,2009,Urban/Western Hip-Hop/Rap/Midwestern Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
376327568,DJ Drama,So Many Girls,Quality Street Music,Male/Male Group,2012,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
374091201,Jacaszek a Milka,Jutro,Sequel,"",2005,Electronica/Trance/Trance,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
373657007,Frank The Baptist,Call The Tune,The New Colossus,"",2007,Other/Data a Other/Data a Other,Cool/Wary / Defiant,Medium Tempo/Medium/80s
370838792,Ice Cube,The Predator,The Predator,Male/Male,1992,Urban/Western Hip-Hop/Rap/Gangsta Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
366344081,Balthazar,The Boatman,Balthazar - Applause,Mixed/Mixed Group,2011,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium/70s
366334975,Pale Honey,Tease,Pale Honey,Female/Female Duo,2015,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/60s
363948587,Butcher Knives,Kaiser Sose (Featuring Ephniko),Misery,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
363228134,Nas,Last Words,Nastradamus,Male/Male,1999,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
323702005,Wu-Tang Clan,One Blood Under W,The W,Male/Male Group,2000,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
314410219,Asian Dub Foundation,Temple Siren,A History Of Now,Male/Male Group,2011,Electronica/Electronica Fusion/South Asian Electronica,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
290159636,The TV Showstoppers,The From The Sopranos (Woke Up This Morning),40 - Worlds Greatest TV Themes ...The Only TV Shows Album You'll Ever Need (Deluxe Version),"",2011,Soundtrack/Original Film/TV Music/General Film Music,Cool/Wary / Defiant,Medium Tempo/Medium/80s
283999028,Dječaci,Lovrinac,Istina,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
264427062,Grinderman,Heathen Child,Grinderman 2,Male/Male Group,2010,Alternative a Punk/Indie Rock/Noise Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/100s
238111024,Eden Weint Im Grab,Moritat des Leierkastenmanns,Geysterstunde I,"",2011,Alternative a Punk/Goth/Goth,Cool/Wary / Defiant,Medium Tempo/Medium/60s
215104617,Zoe Poledouris,Into It,Starship Troopers [Original Motion Picture Soundtrack],"",2016,Pop/Japanese Pop/J-Pop,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
212072860,Смоки Мо,По законам стаи,Кара-Тэ,Male/Male,2004,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
211212161,Bonsai Kitten,Done With Hell (Featuring Köfte De Ville),Done With Hell,"",2011,Rock/50's Rock/Rockabilly,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
209211549,Various Artists,Party Like A Rock Star,Universal AaR Sampler April 2007,"",2007,Pop/Western Pop/Pop Vocal,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
167248076,Landser,Sturmführer,Best Of...,Male/Male Group,0,Alternative a Punk/Punk/Hardcore Punk,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
