id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239104,The Crystal Method,Comin' Back,Vegas,Male/Male Duo,1997,Electronica/Techno/Breakbeat,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
422191590,Cool a Resistance,It's Other Side - Extended Side,It's Other Side,"",2010,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Fast Tempo/Fast/130s
417973090,Full Moon Fashions,Electric Ghana,Nocturnes [Disc 1],"",2007,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Medium Tempo/Medium Fast/110s
414726175,Martin Nonstatic,Kurukshetra,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Medium Tempo/Medium Fast/100s
373732837,Various Artists,Faithles - Remix Afro-Celt,Celtic Soundclash,"",2002,Electronica/Downtempo Lounge a Ambient/Trip Hop,Energizing/Abstract Beat,Fast Tempo/Fast/130s
315128337,Infected Mushroom,Illuminaughty,Converting Vegetarians: The Other Side [Disc 2],Male/Male Group,2003,Electronica/Trance/Trance,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
313467576,Armin Van Buuren Paul Oakenfold Markus Schulz Cosmic Gate a Andy Moor,Pure Thrust (NU NRG Remix),A State Of Trance 500,Male/Male Group,2011,Electronica/Trance/Trance,Energizing/Abstract Beat,Fast Tempo/Fast/140s
242434180,KMFDM,Amnesia,Wtf?!,Mixed/Mixed Group,2011,Rock/Metal/Industrial Metal,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
220108989,Various Artists,Introduction,Lola rennt,"",1998,Soundtrack/Original Film/TV Music/General Film Music,Energizing/Abstract Beat,Fast Tempo/Fast/130s
214183979,Juno Reactor,Mona Lisa OverDrive,Labyrinth,Male/Male Duo,2004,Electronica/Trance/Trance,Energizing/Abstract Beat,Fast Tempo/Fast/130s
