id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239493,Space Chaser,Xenomorph,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239478,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239477,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239476,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239475,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239473,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239472,铁骑,Tengger Cavalry,Blood Sacrifice Shaman,"",2015,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
456239471,Tengger Cavalry,Dance With the Wolf,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
456239470,Tengger Cavalry,Galloping Towards the Great Land,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
456239469,Tengger Cavalry,Battle Song from Far Away,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239466,Tengger Cavalry,Brave,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239465,Tengger Cavalry,Summon the Warrior,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239463,Tengger Cavalry,Chant of the Cavalry,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239459,Kuolemanlaakso,Roll The Dice With The Devil,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239455,Ion Dissonance,The Death of One Man is a Tragedy The Death of 10 000 is a Statistic,Breathing Is Irrelevant,Male/Male Group,2010,Alternative a Punk/Emo a Hardcore/Hardcore,Aggressive/Aggressive Power,Fast Tempo/Fast/150s
456239441,Tiamat,The Temple Of The Crescent Moon,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239445,Hypocrisy,Valley Of The Damned,A Taste Of Extreme Divinity,Male/Male Group,2009,Rock/Metal/Death Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239438,Clinton,Buttoned Down Disco (The Scratch Perverts Boil In The Bag Mix),Disco a The Halfway To Discontent,Male/Male Duo,1999,Electronica/Electronica Mainstream/Big Beat,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
456239430,Bloody Hammers,Bloodletting On The Kiss,Bloodletting On The Kiss,"",2016,Rock/Metal/Heavy Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
456239426,John Garcia,Flower,John Garcia,Male/Male,2014,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239425,Hermano,Our Desert Home,... Into the Exam Room,Male/Male Group,2007,Rock/Hard Rock/Stoner Rock,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
456239422,Louna,1.9.8.4.,The Best of,Mixed/Mixed Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
