id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239539,:Of The Wand And The Moon:,Sunspot,The Lone Descent,"",2011,Traditional/Country/General Country,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239538,Asteroid,Wolf a Snake,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239537,Asteroid,Last Days,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239536,Asteroid,Pale Moon,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
456239531,Tool,Sober,Undertow,Male/Male Group,1993,Rock/Metal/Nu-Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239523,Three Leg Dog,Wolf,Red Sun,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
456239521,Andy Jackson,Type 2 Error,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239519,Andy Jackson,Like You,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239518,Andy Jackson,The Gyre,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239517,Andy Jackson,Drownings,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239515,Andy Jackson,Type 1 Error,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239514,Andy Jackson,Legends of Mysterious Apes,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239509,Blood Axis,The March of Brian Boru,Ultimacy,Mixed/Mixed Group,2011,Rock/Metal/Black Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
456239499,Wardruna,Raido,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
456239451,Kuolemanlaakso,My Last Words,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239447,Rick Wakeman,Tales from the Lindenbrook Sea a. River of Hope b. Hunter and Hunted c. Fight for Life,Return To The Centre Of The Earth,Male/Male,1999,Rock/70's Rock/Classic Prog,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
456239446,Lost In Kiev,Narcosis,Nuit Noire,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
456239443,Tiamat,Until The Hellhounds Sleep Again,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
456239442,Tiamat,Equinox Of The Gods,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239432,Bloody Hammers,The Reaper Comes,The Reaper Comes,"",2016,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
