id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239229,Untergrund Soldaten,Kranke Im Club - Untergrund Soldaten,Kranke Im Club,"",2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/70s
438990885,Aim,Cold Water Music,Cold Water Music,Male/Male,1999,Electronica/Downtempo Lounge a Ambient/Trip Hop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
418025157,Kognitif,Bande De Dégénérés,Monometric,Male/Male,2014,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/60s
404379346,The Black Keys,Tighten Up,Brothers,Male/Male Duo,2010,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
379283790,Eminem,Insane,Relapse,Male/Male,2009,Urban/Western Hip-Hop/Rap/Midwestern Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
374091201,Jacaszek a Milka,Jutro,Sequel,"",2005,Electronica/Trance/Trance,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
373657007,Frank The Baptist,Call The Tune,The New Colossus,"",2007,Other/Data a Other/Data a Other,Cool/Wary / Defiant,Medium Tempo/Medium/80s
366344081,Balthazar,The Boatman,Balthazar - Applause,Mixed/Mixed Group,2011,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium/70s
363228134,Nas,Last Words,Nastradamus,Male/Male,1999,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
323702005,Wu-Tang Clan,One Blood Under W,The W,Male/Male Group,2000,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
290159636,The TV Showstoppers,The From The Sopranos (Woke Up This Morning),40 - Worlds Greatest TV Themes ...The Only TV Shows Album You'll Ever Need (Deluxe Version),"",2011,Soundtrack/Original Film/TV Music/General Film Music,Cool/Wary / Defiant,Medium Tempo/Medium/80s
238111024,Eden Weint Im Grab,Moritat des Leierkastenmanns,Geysterstunde I,"",2011,Alternative a Punk/Goth/Goth,Cool/Wary / Defiant,Medium Tempo/Medium/60s
212072860,Смоки Мо,По законам стаи,Кара-Тэ,Male/Male,2004,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
