id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239366,Suspekt,Elektra,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Cool Confidence,Medium Tempo/Medium Fast/90s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239363,Harold Martinez,Indian Pain,Birdmum,"",2012,Alternative a Punk/Alternative/Alternative Rock,Cool/Cool Confidence,Medium Tempo/Medium/80s
456239312,Нейромонах Феофан,Повозочка,Велики силы добра,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Cool/Cool Confidence,Medium Tempo/Medium/80s
456239229,Untergrund Soldaten,Kranke Im Club - Untergrund Soldaten,Kranke Im Club,"",2003,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/70s
456239052,U-Roy,What Is Catty? (1990 Digital Remaster),Version Of Wisdom,Male/Male,2003,Other/Reggae/Dancehall,Cool/Casual Groove,Medium Tempo/Medium/70s
438990885,Aim,Cold Water Music,Cold Water Music,Male/Male,1999,Electronica/Downtempo Lounge a Ambient/Trip Hop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
419639799,Надежда Кадышева и Ансамбль Золотое кольцо,Пролягала она путь-дорожка,И льётся песня...,"",2012,Traditional/Other Traditions/General World,Cool/Dark Groovy,Medium Tempo/Medium/80s
418025157,Kognitif,Bande De Dégénérés,Monometric,Male/Male,2014,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/60s
404379346,The Black Keys,Tighten Up,Brothers,Male/Male Duo,2010,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
403823659,Caro Emerald,The Lipstick On His Collar,Deleted Scenes From The Cutting Room Floor,Female/Female,2010,Jazz/Jazz Vocals/Jazz Vocals,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
385982821,Yoav,Adore Adore,Charmed a Strange,Male/Male,2008,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Cool/Dark Groovy,Medium Tempo/Medium/60s
379284667,Diana Krall,Temptation,The Girl In The Other Room,Female/Female,2004,Pop/Western Pop/Adult Contemporary,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
379283790,Eminem,Insane,Relapse,Male/Male,2009,Urban/Western Hip-Hop/Rap/Midwestern Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
374091201,Jacaszek a Milka,Jutro,Sequel,"",2005,Electronica/Trance/Trance,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
373657007,Frank The Baptist,Call The Tune,The New Colossus,"",2007,Other/Data a Other/Data a Other,Cool/Wary / Defiant,Medium Tempo/Medium/80s
371744142,Caro Emerald,The Other Woman,Deleted Scenes From The Cutting Room Floor,Female/Female,2010,Jazz/Jazz Vocals/Jazz Vocals,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
371625506,Самое большое простое число,Маленькие человечки,Самое большое простое число,Male/Male,2007,Pop/European Pop/Eastern European Pop,Cool/Cool Confidence,Medium Tempo/Medium/80s
369031994,Tiers,October,Winter,"",2013,Alternative a Punk/Alternative/Alternative Rock,Cool/Cool Confidence,Medium Tempo/Medium Fast/120s
366344081,Balthazar,The Boatman,Balthazar - Applause,Mixed/Mixed Group,2011,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium/70s
363228134,Nas,Last Words,Nastradamus,Male/Male,1999,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
362177484,Самое большое простое число,Маленькие человечки,Самое большое простое число,Male/Male,2007,Pop/European Pop/Eastern European Pop,Cool/Cool Confidence,Medium Tempo/Medium/80s
361260921,Хвост a Аукцыон,Три и два,Жилец вершин,Male/Male Group,2004,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
361242422,АукцЫон,День победы,Grand Collection,Male/Male Group,0,Jazz/Bebop a Modern Jazz/Avant Garde,Cool/Dark Groovy,Medium Tempo/Medium Fast/120s
330916688,ProleteR,April Showers,Curses from Past Times EP,Male/Male Duo,2011,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
323702005,Wu-Tang Clan,One Blood Under W,The W,Male/Male Group,2000,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
290159636,The TV Showstoppers,The From The Sopranos (Woke Up This Morning),40 - Worlds Greatest TV Themes ...The Only TV Shows Album You'll Ever Need (Deluxe Version),"",2011,Soundtrack/Original Film/TV Music/General Film Music,Cool/Wary / Defiant,Medium Tempo/Medium/80s
254143131,Сплин,Мы Сидели И Курили,Реверсивная Хроника Событий,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
243982140,Maze Feat. Frankie Beverly,Running Away,Live In New Orleans,Male/Male Group,1981,Urban/Classic RaB/Soul/Funk,Cool/Casual Groove,Medium Tempo/Medium Slow/60s
238111024,Eden Weint Im Grab,Moritat des Leierkastenmanns,Geysterstunde I,"",2011,Alternative a Punk/Goth/Goth,Cool/Wary / Defiant,Medium Tempo/Medium/60s
234673816,Those Poor Bastards,This World Is Evil,Satan is Watching,"",2008,Rock/Mainstream Rock/General Mainstream Rock,Cool/Cool Confidence,Medium Tempo/Medium/80s
212072860,Смоки Мо,По законам стаи,Кара-Тэ,Male/Male,2004,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
202256510,Bee Gees,Stayin' Alive,One Night Only [Live],Male/Male Group,1998,Pop/Western Pop/Adult Contemporary,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
198608407,Аквариум,Электрический Пёс,Синий Альбом,Male/Male Group,1996,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium/70s
191502084,Ноль,Иду Курю,Песня О Безответной Любви К Родине,Male/Male Group,2003,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium/60s
189070093,ASP,De Profundis,Der Schwarze Schmetterling V - Requiembryo [Disc 1],Male/Male Group,2007,Rock/Metal/Industrial Metal,Cool/Cool Confidence,Medium Tempo/Medium Fast/90s
185194640,Kenji Kawai,Greetings From China / You I Love / A Tight Spot,Ranma 1/2 Original TV Soundtrack Vol. 1,Male/Male,1997,Soundtrack/Original Film/TV Music/Anime Film/TV Music,Cool/Dark Groovy,Medium Tempo/Medium/60s
171766946,Endraum,Regentanz,Zeitenlicht,"",2015,Alternative a Punk/Goth/Goth,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
165055799,Chris Vrenna,Village Of The Doomed,American McGee's Alice,"",2001,Soundtrack/Game Music/Game Music,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
157633164,Чиж a Co,На Поле Танки Грохотали…,Бомбардировщики,Male/Male Group,1997,"",Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
154544378,The Specials,Ghost Town,The Singles Collection,Male/Male Group,1991,Alternative a Punk/Ska Revival/Two-Tone Ska Revival,Cool/Dark Groovy,Medium Tempo/Medium/70s
