id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
419639799,Надежда Кадышева и Ансамбль Золотое кольцо,Пролягала она путь-дорожка,И льётся песня...,"",2012,Traditional/Other Traditions/General World,Cool/Dark Groovy,Medium Tempo/Medium/80s
403823659,Caro Emerald,The Lipstick On His Collar,Deleted Scenes From The Cutting Room Floor,Female/Female,2010,Jazz/Jazz Vocals/Jazz Vocals,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
385982821,Yoav,Adore Adore,Charmed a Strange,Male/Male,2008,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Cool/Dark Groovy,Medium Tempo/Medium/60s
379284667,Diana Krall,Temptation,The Girl In The Other Room,Female/Female,2004,Pop/Western Pop/Adult Contemporary,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
371744142,Caro Emerald,The Other Woman,Deleted Scenes From The Cutting Room Floor,Female/Female,2010,Jazz/Jazz Vocals/Jazz Vocals,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
361260921,Хвост a Аукцыон,Три и два,Жилец вершин,Male/Male Group,2004,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
361242422,АукцЫон,День победы,Grand Collection,Male/Male Group,0,Jazz/Bebop a Modern Jazz/Avant Garde,Cool/Dark Groovy,Medium Tempo/Medium Fast/120s
330916688,ProleteR,April Showers,Curses from Past Times EP,Male/Male Duo,2011,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
254143131,Сплин,Мы Сидели И Курили,Реверсивная Хроника Событий,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
202256510,Bee Gees,Stayin' Alive,One Night Only [Live],Male/Male Group,1998,Pop/Western Pop/Adult Contemporary,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
198608407,Аквариум,Электрический Пёс,Синий Альбом,Male/Male Group,1996,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium/70s
191502084,Ноль,Иду Курю,Песня О Безответной Любви К Родине,Male/Male Group,2003,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium/60s
185194640,Kenji Kawai,Greetings From China / You I Love / A Tight Spot,Ranma 1/2 Original TV Soundtrack Vol. 1,Male/Male,1997,Soundtrack/Original Film/TV Music/Anime Film/TV Music,Cool/Dark Groovy,Medium Tempo/Medium/60s
171766946,Endraum,Regentanz,Zeitenlicht,"",2015,Alternative a Punk/Goth/Goth,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
165055799,Chris Vrenna,Village Of The Doomed,American McGee's Alice,"",2001,Soundtrack/Game Music/Game Music,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
157633164,Чиж a Co,На Поле Танки Грохотали…,Бомбардировщики,Male/Male Group,1997,"",Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
154544378,The Specials,Ghost Town,The Singles Collection,Male/Male Group,1991,Alternative a Punk/Ska Revival/Two-Tone Ska Revival,Cool/Dark Groovy,Medium Tempo/Medium/70s
