id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239427,Die Ärzte,Du Willst Mich Kuessen,Im Schatten Der Aerzte,Male/Male Group,1985,Alternative a Punk/Punk/Pop Punk,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/100s
413854450,Black Moon,Back In Town,Alter The Chemistry,Male/Male Group,2006,"",Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
384681505,Stillste Stund,Wir Sind Energie,Ursprung Paradoxon,Mixed/Mixed Duo,2006,Alternative a Punk/Industrial/Industrial,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/50s
376327568,DJ Drama,So Many Girls,Quality Street Music,Male/Male Group,2012,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
370838792,Ice Cube,The Predator,The Predator,Male/Male,1992,Urban/Western Hip-Hop/Rap/Gangsta Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
366334975,Pale Honey,Tease,Pale Honey,Female/Female Duo,2015,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/60s
363948587,Butcher Knives,Kaiser Sose (Featuring Ephniko),Misery,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
314410219,Asian Dub Foundation,Temple Siren,A History Of Now,Male/Male Group,2011,Electronica/Electronica Fusion/South Asian Electronica,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
283999028,Dječaci,Lovrinac,Istina,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
264427062,Grinderman,Heathen Child,Grinderman 2,Male/Male Group,2010,Alternative a Punk/Indie Rock/Noise Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/100s
215104617,Zoe Poledouris,Into It,Starship Troopers [Original Motion Picture Soundtrack],"",2016,Pop/Japanese Pop/J-Pop,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
211212161,Bonsai Kitten,Done With Hell (Featuring Köfte De Ville),Done With Hell,"",2011,Rock/50's Rock/Rockabilly,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
209211549,Various Artists,Party Like A Rock Star,Universal AaR Sampler April 2007,"",2007,Pop/Western Pop/Pop Vocal,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
167248076,Landser,Sturmführer,Best Of...,Male/Male Group,0,Alternative a Punk/Punk/Hardcore Punk,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
