id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239524,Brant Bjork,Luvin',Tao Of The Devil,Male/Male,2016,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/110s
456239495,Space Chaser,Judgement Day,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
456239395,Risin Sabotage,Vultures,Risin Sabotage,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
456239347,Los Emisarios,Última Generación,Reino,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239332,Megadeth,Holy Wars...The Punishment Due,Rust In Peace,Male/Male Group,1990,Rock/Metal/Speed Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/160s
456239265,The Dirty Earth,So Long Sucker,Ascendancy,"",2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
456239204,Stoned Cobra,Caskets,Armed and Hammered,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
279389826,Красные Звезды,Родина,Кругозор,"",1996,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
456239117,Fountains Of Wayne,Sink To The Bottom,Fountains Of Wayne,Male/Male Group,1996,Rock/Power Pop/Power Pop,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/190s
456239037,System Of A Down,This Cocaine Makes Me Feel Like I'm On This Song,Mezmerize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
442143336,Clutch,Earth Rocker,Earth Rocker,Male/Male Group,2013,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
442094054,Richie Sambora,Burn That Candle Down,Aftermath of the Lowdown,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
437366762,Nawather,Daret Layyem,Wasted Years,"",2016,Rock/Metal/Gothic Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
430459872,Woven Hand,Good Shepherd,Refractory Obdurate,Male/Male Group,2014,Traditional/Country/Americana,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
423626760,The Old Dead Tree,Won't Follow Him,The Nameless Disease,Male/Male Group,2005,Alternative a Punk/Emo a Hardcore/Hardcore,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
421593854,Orange Goblin,Your World Will Hate This,Coup De Grace,Male/Male Group,2002,Rock/Metal/Doom Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/110s
418381853,WWF,Live For The Moment (Matt Hardy's Theme),Forceable Entry,Male/Male Group,2002,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/200s
414097671,DeVille,Out Of The Black,Make It Belong To Us,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/170s
410145970,Clutch,Behold The Colossus,Psychic Warfare,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
408684287,Hateful Abandon,High Rise,Liars-Bastards,"",2015,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
403290080,Clutch,Firebirds!,Psychic Warfare,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/160s
402664080,Motörhead,"Young And Crazy [Bonus Track - Instrumental Version of ""Sex And Outrage""]",Iron Fist [Expanded Edition],Male/Male Group,2009,Rock/Metal/Speed Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
401015400,All Them Witches,When God Comes Back,Lightning at the Door,Male/Male Group,2014,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
398956559,Les Hurlements D'Léo,Trader of Love,Bordel de luxe,Male/Male Group,2011,Rock/European Rock/Chanson Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/190s
381404802,Zrymgöll,Mr. Folk,Migthy Tavern,"",2014,Traditional/Folk/Traditional U.S. Folk,Defiant/Hard Dark Excitement,Fast Tempo/Fast/160s
371533932,Tanzwut,Dämmerung,Labyrinth der Sinne,Male/Male Group,2000,"",Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
370835540,Cobra Starship,Pop-Punk Is Sooooo '05,While The City Sleeps We Rule The Streets,Mixed/Mixed Group,2006,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Dark Excitement,Fast Tempo/Fast/170s
366353210,Tanzwut,Augen zu,Tanzwut,Male/Male Group,1999,Rock/Metal/Industrial Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
364174752,Sonic Youth,Kool Thing,Goo,Mixed/Mixed Group,1990,Alternative a Punk/Indie Rock/Noise Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
363942961,Butcher Knives,Misery,Misery,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
326669910,Red Hot Chili Peppers,Coffee Shop,One Hot Minute,Male/Male Group,1995,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
283817149,Rage Against The Machine,Sleep Now In The Fire,The Battle Of Los Angeles,Male/Male Group,1999,Rock/Metal/Rap Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
283816866,Rage Against The Machine,Guerilla Radio,The Battle Of Los Angeles,Male/Male Group,1999,Rock/Metal/Rap Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
270142226,Girls Under Glass,Lucky,Flowers,Male/Male Group,2013,Alternative a Punk/Industrial/Industrial,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
258886741,Otep,Rise Rebel Resist,Smash The Control Machine,Mixed/Mixed Group,2009,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
257551170,Чёрный Обелиск,Я Остаюсь,Энциклопедия Российского Рока: Черный Обелиск,Male/Male Group,2003,"",Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
247555698,Ляпис Трубецкой,Танк,Матрёшка (специальное издание),Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
230192754,Чёрный Обелиск,Праздник слепоты,Мой мир,Male/Male Group,2016,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
227652708,Бригадный Подряд,Гений,Страна возможностей,"",2013,Alternative a Punk/Punk/General Punk,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
227524015,Марки,Новый мировой порядок,Марсианская сср,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
