id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239540,Local H,Toxic,Alive '05 [Live],Male/Male Duo,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239524,Brant Bjork,Luvin',Tao Of The Devil,Male/Male,2016,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/110s
456239507,Irrlicht,Dekadenz (Dekonstrukt),End.Klang,"",2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239495,Space Chaser,Judgement Day,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
456239467,Tengger Cavalry,Hymn of the Earth,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239460,Kuolemanlaakso,The World's Intolerable Pain,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239454,Blind Dog,Coming To,The Last Adventures of Captain Dog,"",2001,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239448,Kuolemanlaakso,She Guides Me In My Dreams,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239444,Tiamat,Katarraktis Apo Aima,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
456239440,Kuolemanlaakso,Children Of The Night,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239437,Muse,MK Ultra,The Resistance,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
456239434,Bloody Hammers,Infinite Gaze To The Sun,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239433,Bloody Hammers,Messalina,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239431,Bloody Hammers,Lights Come Alive,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239427,Die Ärzte,Du Willst Mich Kuessen,Im Schatten Der Aerzte,Male/Male Group,1985,Alternative a Punk/Punk/Pop Punk,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/100s
456239401,Mantus,Weg ins Paradies,Weg ins Paradies,Mixed/Mixed Group,2004,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239395,Risin Sabotage,Vultures,Risin Sabotage,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
456239392,Plainride,Return of the Jackalope,Return of the Jackalope,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239370,Сплин,Прочь Из Моей Головы,Раздвоение Личности,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239347,Los Emisarios,Última Generación,Reino,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239337,Samsas Traum,Im Ursprung der Schatten Featuring Vic Anselmo,Niemand niemand anderem als dir,Male/Male Group,2013,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239332,Megadeth,Holy Wars...The Punishment Due,Rust In Peace,Male/Male Group,1990,Rock/Metal/Speed Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/160s
456239330,Therion,Schwarzalbenheim,Secret Of The Runes,Mixed/Mixed Group,2001,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
456239329,Therion,Muspelheim,Secret Of The Runes,Mixed/Mixed Group,2001,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239325,Sólstafir,Djákninn,Svartir Sandar,Male/Male Group,2011,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239280,Megadeth,Back In The Day,The System Has Failed,Male/Male Group,2004,Rock/Metal/Speed Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239275,Soilwork,Antidotes In Passing,The Living Infinite [Disc 2],Male/Male Group,2013,Rock/Metal/Death Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
456239271,Theatre Of Tragedy,Aoede,Aegis,Mixed/Mixed Group,1998,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239270,Therion,Summernight City,Secret Of The Runes,Mixed/Mixed Group,2001,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239265,The Dirty Earth,So Long Sucker,Ascendancy,"",2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
456239252,Mantus,In die Wirklichkeit,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239250,Shadow Gallery,Ghostship: i) The Gathering The Night Before,Carved In Stone,Male/Male Group,2007,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239244,Katatonia,Serac,The Fall Of Hearts,Male/Male Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239238,Mantus,Niemals genug,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239231,Mantus,Niemals genug,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239228,Untergrund,Robophilia,Robophilia,"",2015,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239227,Mygrain,Xenomorphic,Mygrain,"",2011,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239224,The Black Keys,Gold On The Ceiling,El Camino,Male/Male Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
456239208,Made In Poland,Ball In The Wood,Future Time,"",2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239207,Made In Poland,Pada Snieg,Future Time,"",2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239205,Made In Poland,Future Time,Future Time,"",2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239204,Stoned Cobra,Caskets,Armed and Hammered,"",2016,Pop/Western Pop/Pop Vocal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
456239153,Mr. Bison,Black Crow,Asteroid,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
279389826,Красные Звезды,Родина,Кругозор,"",1996,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
456239117,Fountains Of Wayne,Sink To The Bottom,Fountains Of Wayne,Male/Male Group,1996,Rock/Power Pop/Power Pop,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/190s
456239093,Hämatom,Offline,Wir sind Gott,Male/Male Group,2016,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239091,White Miles,A Good Pennyworth,The Duel (+ Commentary),Mixed/Mixed Duo,2016,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239090,White Miles,Crazy Horse,The Duel (+ Commentary),Mixed/Mixed Duo,2016,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
456239092,Hämatom,Tanz aus der Reihe,Wir sind Gott,Male/Male Group,2016,Rock/Metal/Industrial Metal,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
456239062,Tiamat,Dust Is Our Fare,Skeleton Skeletron,Male/Male Group,1999,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
456239060,Tiamat,Winter Dawn,The Scarred People,Male/Male Group,2012,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239059,Tiamat,Sympathy For The Devil (Rolling Stones Cover),Skeleton Skeletron,Male/Male Group,1999,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239051,Hot Water Music,This Early Grave,The New What Next,Male/Male Group,2004,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239037,System Of A Down,This Cocaine Makes Me Feel Like I'm On This Song,Mezmerize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
456239017,Mountain Witch,The Dead Won't Sleep,Burning Village,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
444411181,Ghost,Cirice,Meliora,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
442881277,The Dirty Earth,Bed Of Nails,Ascendancy,"",2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
442881269,The Dirty Earth,Fierce Goddess,Ascendancy,"",2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
442881265,The Dirty Earth,Cruel World,Ascendancy,"",2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
442881261,The Dirty Earth,Down To The River,Ascendancy,"",2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
442143336,Clutch,Earth Rocker,Earth Rocker,Male/Male Group,2013,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
442094054,Richie Sambora,Burn That Candle Down,Aftermath of the Lowdown,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
441379850,Iron Maiden,Out Of The Silent Planet,Brave New World,Male/Male Group,2000,Rock/Metal/Classic British Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
440855795,Myrath,Merciless Times,Tales Of The Sands,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
440222965,Salem's Bend,Balshazzar,Salem's Bend,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
439579538,Ghost,Spirit,Meliora,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
439375444,Tiamat,Brighter Than The Sun,Skeleton Skeletron,Male/Male Group,1999,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
437366762,Nawather,Daret Layyem,Wasted Years,"",2016,Rock/Metal/Gothic Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
435460837,Weena Morloch,Fall Apart,Grüß Gott wir sind die Morlochs,Mixed/Mixed Group,2015,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
433344468,Laura Marling,I Feel Your Love (Director's Cut),Short Movie,Female/Female,2015,Alternative a Punk/Alternative Folk/Alternative Folk,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
430459872,Woven Hand,Good Shepherd,Refractory Obdurate,Male/Male Group,2014,Traditional/Country/Americana,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
429889244,Heaven a Hell,Bible Black,The Devil You Know,Male/Male Group,2009,Rock/Metal/Classic British Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
426923911,Electric Worry,Dead End,Wasted,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
424651282,O. Children,Ruins,Ruins [Single],"",2010,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
425935294,If These Trees Could Talk,Red Forest,Red Forest,Male/Male Group,2012,Alternative a Punk/Indie Rock/Post-Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
