id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239520,Andy Jackson,Ships of Dreams,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239502,Wardruna,Isa,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239497,Wardruna,Odal,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239287,Valravn,Sjón,Koder På Snor,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Modern Art Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
456239285,Valravn,Lysabild,Koder På Snor,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Modern Art Music,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239192,Wardruna,Bjarkan,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
456239191,Wardruna,Hagall,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239163,Outersect,Mama Night's Tune,Fenris Licks Your Hand,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239132,Nature Ganganbaigal,Galloping Steeds,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
456239131,Nature Ganganbaigal,Legend On Horseback,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239136,Nature Ganganbaigal,Hymn of the Earth,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239130,Nature Ganganbaigal,The Expedition,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
442913942,Bally Sagoo,Tum Bin Jiya,Rising From The East,Male/Male,1996,Electronica/Electronica Fusion/South Asian Electronica,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
438990894,Archive,Nothing Else,Londinium,Mixed/Mixed Group,1996,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
426196835,Ulver,Hallways Of Always,Perdition City,Male/Male Group,2002,Rock/Metal/Black Metal,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
424167740,Black Mountain,Wucan,In The Future,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Neo-Psychedelic,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
423614949,Aivoaula,Horseisland dub,Braindrop,"",2008,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
423614834,Aivoaula,Gurkha,Braindrop,"",2008,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
420171314,Albert Kuvezin a Yat-Kha,In A Gadda Da Vida,Re-Covers,Male/Male Duo,2005,Traditional/Asian Traditional/Mongolian Traditional,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726170,Martin Nonstatic,Saint Germain,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726161,Martin Nonstatic,Open Minded,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
414726154,Martin Nonstatic,Distance B,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726149,Martin Nonstatic,Tabula Rasa,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726147,Martin Nonstatic,Edelbitter,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
414726145,Martin Nonstatic,Inside Eyesight,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414723233,Martin Nonstatic,Granite,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
414100402,Nitin Sawhney,Dark Day,Dystopian Dream,Male/Male,2015,Electronica/Electronica Fusion/South Asian Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414099287,Nitin Sawhney,Fires,Dystopian Dream,Male/Male,2015,Electronica/Electronica Fusion/South Asian Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
413634766,Archive,Nothing Else,Londinium,Mixed/Mixed Group,1996,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
411905857,The Other Day,Engelstränen,Erato Azur. Des Auge Klang,"",0,Other/New Age/General New Age,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
410688359,Faun,Da Que Deus,Renaissance,Mixed/Mixed Group,2005,Rock/Metal/Industrial Metal,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
408697330,Sonar,Orbit 5.7,Black Light,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
408387496,Diary Of Dreams,Grau im Licht,Grau im Licht,Male/Male Duo,2015,Alternative a Punk/Goth/Goth,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
407946445,Blockhead,Insomniac Olympics,Music By Cavelight,Male/Male,2004,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
404381709,The Constellations,Perfect Day,Southern Gothic,Mixed/Mixed Group,2010,Alternative a Punk/Alternative/Alternative Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
401489584,Massive Attack,Angel,Mezzanine,Mixed/Mixed Group,1998,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
401488689,Wardruna,Sowelu,Yggdrasil,Male/Male Group,2013,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Fast/100s
399429976,Fantasia,Lock Stock and Two Smoking Barrels - Walk This Land,Cult Movie Themes,Female/Female,2010,Urban/Contemporary RaB/Soul/Urban AC,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
385320362,Yoav,There Is Nobody,Charmed a Strange,Male/Male,2008,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
372170521,In Mitra Medusa Inri,Lachen Weinen Einsamsein,Commedia Del Arte,"",0,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
363007474,Massive Attack,Bullet Boy,Collected [Disc 2],Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
362997646,Massive Attack,Silent Spring,Collected [Disc 2],Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
352770406,Sohodolls,Bang Bang Bang Bang,Ribbed Music For The Numb Generation,Mixed/Mixed Group,2007,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
301384124,Auļi,Auļos...,Auļos...,Mixed/Mixed Group,2012,Traditional/European Traditional/Baltic Traditional,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
283958147,Blutengel,Ordinary Darkness,Tränenherz,Mixed/Mixed Group,2011,Alternative a Punk/Industrial/Industrial,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
283609783,Deadly Avenger,Jacob's Ladder,Kingdom,Male/Male,2014,Electronica/Techno/Breakbeat,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
267070888,School Of Seven Bells,Trance Figure,Alpinisms,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Dream Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
261247209,Massive Attack,Paradise Circus,Heligoland,Mixed/Mixed Group,2010,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
259936529,Neun Welten,Jarknez,Destrunken,"",2009,Rock/Folk Rock/General Folk Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
254117686,Fever Ray,Keep The Streets Empty For Me,Fever Ray,Female/Female,2009,Alternative a Punk/Indie Rock/Post-Modern Art Music,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
247675425,Nick Cave a The Bad Seeds,Red Right Hand,Let Love In,Male/Male Group,1994,Alternative a Punk/Indie Rock/Original Post-Punk,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
230267633,Anders Manga,Santa Sangre,Infinite Gaze Into The Sun,"",2010,Alternative a Punk/Alternative/Alternative Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
230183748,Anders Manga,The Transit Begins,Infinite Gaze Into The Sun,"",2010,Alternative a Punk/Alternative/Alternative Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
209184995,The Civil Wars a T-Bone Burnett,Witnesses To Hunger,A Place At The Table (Original Motion Picture Soundtrack),Male/Male,2013,Rock/Alternative Roots/Roots Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
207993675,FC Kahuna,Hayling,Machine Says Yes,Male/Male Duo,2002,Electronica/Electronica Mainstream/Big Beat,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
201223722,Akira Yamaoka,Silent Circus,Silent Hill: The Room Soundtrack,Male/Male,2004,Soundtrack/Game Music/Game Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
353780537,Theodor Bastard,Intifadah,Oikoumene,Mixed/Mixed Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
181527787,Bronski Beat,Smalltown Boy,The Age Of Consent [Bonus Tracks],Male/Male Group,2000,Alternative a Punk/Synth Pop/Synth Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
180996032,V.A. HomePlanet OST,Alone (Evening),V.A. HomePlanet OST,"",2003,Soundtrack/Game Music/Game Music,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
174938011,Deine Lakaien,Return,Kasmodiah,Male/Male Group,1999,Alternative a Punk/Goth/Goth,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
