id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239458,Jack Johnson,No Other Way,In Between Dreams,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Easygoing/Friendly,Medium Tempo/Medium Slow/50s
456239274,Леонид Федоров,Дом на Колесах,Четыресполовинойтонны,Male/Male,1997,"",Easygoing/Charming / Easygoing,Medium Tempo/Medium/60s
412945730,Nicholas Gunn,She Walks in Beauty,The Sacred Fire,Male/Male,1994,Other/New Age/New Age World Music,Easygoing/Hopeful / Breezy,Medium Tempo/Medium/60s
408985001,She Said Save Me,Emerson,This Impossible Love,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Easygoing/Friendly,Medium Tempo/Medium Fast/90s
286846955,Volker Lechtenbrink,Wir Sind Zusammen Und Allein,Das Beste Von..... Seine Grossen Erfolge,Male/Male,1993,Pop/European Pop/Schlager a Volksmusik,Easygoing/Friendly,Medium Tempo/Medium/60s
269630884,Gjallarhorn,Konungen och trollkvinnan (The King and the Enchantress),Ranarop,"",1997,Pop/Western Pop/Pop Vocal,Easygoing/Cheerful / Playful,Medium Tempo/Medium Fast/110s
269629643,Gjallarhorn,I fjol så (Last year),Ranarop,"",1997,Pop/Western Pop/Pop Vocal,Easygoing/Cheerful / Playful,Medium Tempo/Medium Fast/90s
198812893,Екатерина и Сергей Железновы,Танец червяков,Аэробика,"",2005,Other/Children's/General Children's Music,Easygoing/Friendly,Medium Tempo/Medium Slow/50s
185623245,Kenji Kawai,Are You Reading My Moves? / Cut to the Chase / I'll Get You Next Time For Sure / Eyecatch No. 1,Ranma 1/2 Original TV Soundtrack Vol. 1,Male/Male,1997,Soundtrack/Original Film/TV Music/Anime Film/TV Music,Easygoing/Charming / Easygoing,Medium Tempo/Medium/80s
181529082,The Velvet Underground,Some Kinda Love,The Velvet Underground,Mixed/Mixed Group,1969,Alternative a Punk/New Wave Rock/New Wave Rock,Easygoing/Charming / Easygoing,Medium Tempo/Medium Fast/110s
181475008,2012 Encores! Cast,The Blob Part I / Growing Up (Reprise),Merrily We Roll Along — 2012 New York cast recording,"",2012,Other/Data a Other/Data a Other,Easygoing/Cheerful / Playful,Medium Tempo/Medium Fast/90s
180127371,Johnny Cash,When The Man Comes Around,Johnny Cash Greatest Hits,Male/Male,0,Traditional/Classic Country/Outlaw Country,Easygoing/Friendly,Medium Tempo/Medium Slow/50s
