id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239479,許慧欣,與狼共舞,謎,Female/Female,2006,Pop/Chinese Pop/General Chinese Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
456239308,Нейромонах Феофан,Изба ходит ходуном,Изба ходит ходуном - Single,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
456239300,Tragic Black,Mad Hatter,The Decadent Requiem,"",2006,Alternative a Punk/Alternative/Alternative Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
456239151,Dawn Of Ashes,Naildriven,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
456239149,Dawn Of Ashes,Flat-Line,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
433337559,Caravan Palace,Jolie Coquine,Caravan Palace,Mixed/Mixed Group,2008,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
421898335,Various Artists,Cinnamon Girl,Electro Swing,Mixed/Mixed Group,2009,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
419676962,Аркона,Ярило,Гой Роде Гой!,Mixed/Mixed Group,2009,"",Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
404692174,Нейромонах Феофан,Под драм легко,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
380150318,Die Untoten,Die Seelenfängerin,Grabsteinland IV - Die schwarze Feder,"",2005,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
379254014,The Gaslamp Killer,Holy Mt Washington,Breakthrough,Male/Male Duo,2012,Electronica/Techno/Intelligent (IDM),Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
376327570,DJ Drama,Same Ol' Story,Quality Street Music,Male/Male,2012,Urban/Western Hip-Hop/Rap/Mixtape,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
270432491,Girls' Generation,Run Devil Run,Run Devil Ru,Female/Female Group,2011,Pop/Korean Pop/K-Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/60s
242622452,Robyn Feat. Kleerup,With Every Heartbeat (Punks Jump Up Remix),With Every Heartbeat [Single],Mixed/Mixed Duo,2007,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
242062595,Black Heaven,The Smell of Suicide,Obscurity,Mixed/Mixed Duo,2005,Alternative a Punk/Synth Pop/Synth Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
242055651,Die Untoten,Die schwarze Feder,Grabsteinland IV - Die schwarze Feder,"",2005,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
198779762,Alina Orlova,Menulis,Дикая Собака Динго,Female/Female,2008,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
186470793,Агата Кристи,Никогда,Звездная Серия,Male/Male Group,2001,"",Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
175609470,Ленинград,Любовь,Бабье лето,Mixed/Mixed Group,2006,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
173567929,Gorillaz,Feel Good Inc.,Demon Days,Male/Male Group,2005,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
170044440,Xe-None,Slave On_Line,Dance Metal [Rave]olution,"",2011,Rock/Metal/Heavy Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
162674550,Goran Bregović,Gas Gas,Karmen (With A Happy End),Male/Male,2007,Soundtrack/Original Film/TV Music/General Film Music,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
