id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239479,許慧欣,與狼共舞,謎,Female/Female,2006,Pop/Chinese Pop/General Chinese Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
456239456,Ibiza Fever,Set You Free (Amsterdam Funk Mix),Ibiza Fever [Disc 2],"",2004,Electronica/House/General House,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
456239308,Нейромонах Феофан,Изба ходит ходуном,Изба ходит ходуном - Single,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
456239300,Tragic Black,Mad Hatter,The Decadent Requiem,"",2006,Alternative a Punk/Alternative/Alternative Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
456239233,Sündenklang,Mach mich glücklich,Tränenreich,"",2014,Rock/Metal/Gothic Metal,Energizing/Arousing Groove,Medium Tempo/Medium Fast/100s
456239201,Anders Manga,X's And The Eyes,X's a The Eyes,"",2008,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Heavy Beat,Medium Tempo/Medium Fast/90s
456239151,Dawn Of Ashes,Naildriven,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
456239149,Dawn Of Ashes,Flat-Line,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
456239120,She Wants Revenge,Tear You Apart,She Wants Revenge,Male/Male Duo,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Energizing/Arousing Groove,Fast Tempo/Fast/150s
456239104,The Crystal Method,Comin' Back,Vegas,Male/Male Duo,1997,Electronica/Techno/Breakbeat,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
456239089,Unter Null,Endtime (Inure Mix),Sacrament,Female/Female,2006,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Fast Tempo/Fast/130s
433337559,Caravan Palace,Jolie Coquine,Caravan Palace,Mixed/Mixed Group,2008,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
422191590,Cool a Resistance,It's Other Side - Extended Side,It's Other Side,"",2010,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Fast Tempo/Fast/130s
421898335,Various Artists,Cinnamon Girl,Electro Swing,Mixed/Mixed Group,2009,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
420556381,The Future Sound Of London,Cascade,Lifeforms [Disc 1],Male/Male Duo,1994,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
419676962,Аркона,Ярило,Гой Роде Гой!,Mixed/Mixed Group,2009,"",Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
418023376,Parov Stelar,Catgroove,Coco Pt. 2,Male/Male,2009,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Arousing Groove,Medium Tempo/Medium Fast/120s
417973090,Full Moon Fashions,Electric Ghana,Nocturnes [Disc 1],"",2007,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Medium Tempo/Medium Fast/110s
414726175,Martin Nonstatic,Kurukshetra,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Medium Tempo/Medium Fast/100s
404692174,Нейромонах Феофан,Под драм легко,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
400890422,The Pretenders,How Much Did You Get For Your Soul?,Get Close,Mixed/Mixed Group,1986,Alternative a Punk/New Wave Rock/New Wave Rock,Energizing/Arousing Groove,Medium Tempo/Medium Fast/120s
385305002,[:SITD:],Venom,Stronghold,Male/Male Group,2004,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
380150318,Die Untoten,Die Seelenfängerin,Grabsteinland IV - Die schwarze Feder,"",2005,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
379254014,The Gaslamp Killer,Holy Mt Washington,Breakthrough,Male/Male Duo,2012,Electronica/Techno/Intelligent (IDM),Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
376327570,DJ Drama,Same Ol' Story,Quality Street Music,Male/Male,2012,Urban/Western Hip-Hop/Rap/Mixtape,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
373732837,Various Artists,Faithles - Remix Afro-Celt,Celtic Soundclash,"",2002,Electronica/Downtempo Lounge a Ambient/Trip Hop,Energizing/Abstract Beat,Fast Tempo/Fast/130s
370966465,Skrillex,Right On Time,Bangarang [EP],Male/Male Group,2011,Electronica/Dubstep/Dubstep,Energizing/Heavy Beat,Fast Tempo/Fast/140s
331038860,Die Form,Schaulust(Scopic Pulsion),Rayon X,Mixed/Mixed Duo,2014,Alternative a Punk/Goth/Goth,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
315128337,Infected Mushroom,Illuminaughty,Converting Vegetarians: The Other Side [Disc 2],Male/Male Group,2003,Electronica/Trance/Trance,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
313467576,Armin Van Buuren Paul Oakenfold Markus Schulz Cosmic Gate a Andy Moor,Pure Thrust (NU NRG Remix),A State Of Trance 500,Male/Male Group,2011,Electronica/Trance/Trance,Energizing/Abstract Beat,Fast Tempo/Fast/140s
276881936,Deep Forest,Cafe Europa,Boheme,Male/Male Duo,1995,Other/New Age/New Age World Music,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
270432491,Girls' Generation,Run Devil Run,Run Devil Ru,Female/Female Group,2011,Pop/Korean Pop/K-Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/60s
261144553,Unheilig,Der Mann im Mond,Das 2. Gebot,Male/Male Group,2009,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Arousing Groove,Fast Tempo/Fast/140s
242622452,Robyn Feat. Kleerup,With Every Heartbeat (Punks Jump Up Remix),With Every Heartbeat [Single],Mixed/Mixed Duo,2007,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
