id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239396,Eternal / Thy Grief Eternal / Lord of Putrefaction,Magickal Childe,Pre-Electric Wizard 1989-94,Mixed/Mixed Group,2013,Rock/Metal/Doom Metal,Excited/Euphoric Energy,Fast Tempo/Fast/150s
456239304,Heimataerde,Gott Ist Mit Uns,Gotteskrieger,Male/Male,2005,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Fast Tempo/Fast/130s
456239156,Mirreya,Grey,Grey,"",2016,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
456239050,Magic Sword,The Way Home,Volume 1,Male/Male Duo,2015,Alternative a Punk/Synth Pop/Synth Pop,Excited/Euphoric Energy,Fast Tempo/Fast/150s
404691326,Нейромонах Феофан,Пляски с медведем,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/170s
393228354,Mydy Rabycad,Drowning,Let Your Body Move,Mixed/Mixed Group,2013,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
391877610,Butcher Knives,Tell Me Why,Misery,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Excited/Euphoric Energy,Fast Tempo/Fast/130s
391397960,Marina a The Diamonds,Froot,Froot,Female/Female,2015,Alternative a Punk/Synth Pop/Synth Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
373506692,Clan Of Xymox,Cold Damp Day,Farewell,Male/Male Group,2003,Alternative a Punk/Synth Pop/Synth Pop,Excited/Euphoric Energy,Fast Tempo/Fast/130s
315864366,Twenty 4 Seven Feat. Stay-C a Nance,Leave Them Alone,Slave To The Music,Male/Male Group,1993,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
313462549,Diary Of Dreams,Dream of a Ghost,Elegies in Darkness,Male/Male Duo,2014,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
255992397,The Birthday Massacre,Red Stars,Walking With Strangers,Mixed/Mixed Group,2007,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Fast Tempo/Very Fast/190s
195860440,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
195858135,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
194563871,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
193705514,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
186477812,Море,Любишь Или Нет,Первая Любовь,"",2013,Pop/Western Pop/Pop Vocal,Excited/Euphoric Energy,Fast Tempo/Fast/130s
183028507,Blutengel,Reich mir die Hand,Tränenherz,Mixed/Mixed Group,2011,Alternative a Punk/Industrial/Industrial,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
181475035,10 Revolutions,Time For The Revolution (Original Mix),10 Revolutions,"",0,Electronica/House/General House,Excited/Euphoric Energy,Fast Tempo/Fast/130s
166718307,The Birthday Massacre,Broken,Nothing And Nowhere,Mixed/Mixed Group,2007,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Fast Tempo/Fast/140s
162755251,The Prodigy,Voodoo People,Music For The Jilted Generation,Male/Male Group,1994,Electronica/Electronica Mainstream/Big Beat,Excited/Euphoric Energy,Fast Tempo/Fast/150s
