id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
425891770,Munly a The Lee Lewis Harlots,My Second Salvation Army Choir,Munly a The Lee Lewis Harlots,"",2004,Alternative a Punk/Alternative/Alternative Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium Fast/100s
419830633,The Cubical,In the Night,Come Sing These Crippled Tunes,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
408711309,Eric Clapton,Come On In My Kitchen,Me a Mr. Johnson,Male/Male,2004,Traditional/Electric Blues/Slide Guitar Blues,Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
408692664,Walter Sickert a The Army Of Broken Toys,Devil's In The Details,Soft Time Traveler,"",2013,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium/70s
406259495,Soft Cell,Tainted Love,Non-Stop Erotic Cabaret,Male/Male Duo,1996,Alternative a Punk/Synth Pop/Synth Pop,Gritty/Gritty / Soulful,Medium Tempo/Medium/70s
397342066,Portishead,Over,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Gritty/Gritty / Soulful,Medium Tempo/Medium/70s
379976856,Moriarty,Clementine,The Missing Room,Mixed/Mixed Group,2011,Alternative a Punk/Alternative Folk/Alternative Folk,Gritty/Gritty / Soulful,Medium Tempo/Medium/70s
360730807,Townes Van Zandt,Waitin' Around To Die,Texas Troubadour [Disc 1],Male/Male,2005,Traditional/Classic Country/Texas Country,Gritty/Gritty / Soulful,Medium Tempo/Medium Slow/50s
330908822,Moondog,Stamping Ground,Moondog,Male/Male,1989,Classical/Classical Crossover/Classical Fusion,Gritty/Gritty / Soulful,Medium Tempo/Medium Fast/90s
266525113,Александр Башлачев,В чистом поле,Александр Башлачев. Легенды русского рока,Male/Male,2014,"",Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
264232180,Primus,American Life,Sailing The Seas Of Cheese,Male/Male Group,1991,Alternative a Punk/Alternative/Funk Metal,Gritty/Gritty / Soulful,Medium Tempo/Medium Fast/90s
242621236,Anson Funderburgh a The Rockets Feat. Sam Myers,Tell Me What I Want To Hear,Live at The Grand Emporium,Male/Male Group,1995,Traditional/Electric Blues/Texas Blues,Gritty/Gritty / Soulful,Medium Tempo/Medium/60s
230613245,Johnny Hollow,Gone,Johnny Hollow,"",2005,Alternative a Punk/Alternative/Alternative Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
211607811,Пикник,Недобитый Романтик,Железные Мантры,Male/Male Group,2008,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium/60s
188637051,Seasick Steve,Cut My Wings,Dog House Music,Male/Male,2006,Traditional/Acoustic Blues/General Acoustic Blues,Gritty/Gritty / Soulful,Medium Tempo/Medium Slow/50s
172913240,Led Zeppelin,Kashmir,Physical Graffiti [Disc 1],Male/Male Group,1975,Rock/70's Rock/Classic Hard Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
170983366,Mr. Eric a Mr. Michael (Eric Litwin a Michael Levine),Going On A Bear Hunt (Story Song),Yummy Yellow From The Learning Groove,"",2010,Other/Children's/General Children's Music,Gritty/Gritty / Soulful,Medium Tempo/Medium Slow/50s
162397339,Jesse Winchester,Step By Step,Let The Rough Side Drag,Male/Male,2008,Traditional/Country/General Country,Gritty/Gritty / Soulful,Medium Tempo/Medium/80s
