id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239456,Ibiza Fever,Set You Free (Amsterdam Funk Mix),Ibiza Fever [Disc 2],"",2004,Electronica/House/General House,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
456239201,Anders Manga,X's And The Eyes,X's a The Eyes,"",2008,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Heavy Beat,Medium Tempo/Medium Fast/90s
456239089,Unter Null,Endtime (Inure Mix),Sacrament,Female/Female,2006,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Fast Tempo/Fast/130s
420556381,The Future Sound Of London,Cascade,Lifeforms [Disc 1],Male/Male Duo,1994,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
385305002,[:SITD:],Venom,Stronghold,Male/Male Group,2004,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
370966465,Skrillex,Right On Time,Bangarang [EP],Male/Male Group,2011,Electronica/Dubstep/Dubstep,Energizing/Heavy Beat,Fast Tempo/Fast/140s
331038860,Die Form,Schaulust(Scopic Pulsion),Rayon X,Mixed/Mixed Duo,2014,Alternative a Punk/Goth/Goth,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
276881936,Deep Forest,Cafe Europa,Boheme,Male/Male Duo,1995,Other/New Age/New Age World Music,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
192594161,Anders Manga,The Last Alarm,Infinite Gaze Into The Sun,"",2010,Alternative a Punk/Alternative/Alternative Rock,Energizing/Heavy Beat,Fast Tempo/Fast/150s
192492572,Anders Manga,Catastrophe,Infinite Gaze Into The Sun,"",2010,Alternative a Punk/Alternative/Alternative Rock,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
176090903,Ministry,Bloodlines,Rantology,Male/Male Group,2005,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Fast Tempo/Fast/150s
170576625,Unheilig,Willst du mich,Zelluloid,Male/Male Group,2009,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
