id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239503,Wardruna,UruR,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
456239355,Woven Hand,Singing Grass,The Threshingfloor,Male/Male Group,2010,Traditional/Country/Americana,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
456239349,The White Buffalo a The Forest Rangers,Come Join the Murder (From Sons of Anarchy),Come Join the Murder,Male/Male Group,2014,Rock/Alternative Roots/Roots Rock,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
456239078,Mogwai,Are You A Dancer?,Atomic,Male/Male Group,2016,Alternative a Punk/Indie Rock/Post-Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
432361063,Sopor Aeternus a The Ensemble Of Shadows,Sternblumennacht,Nenia C'Alladhan,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Dream Pop,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
419674821,Аквариум,Миша из города скрипящих статуй,Треугольник,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
412130466,Buckethead,Padmasana,Electric Tears,Male/Male,2002,Rock/Metal/Progressive Metal,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
410142467,Ulver,Waltz Of King Karl,Svidd Neger,Male/Male Group,2003,Rock/Metal/Black Metal,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
408694308,Sivu,Love Lives In This House,Something On High,Male/Male,2014,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
396976714,Meg Myers,The Morning After,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
391646418,Jonathan Wilson,Desert Trip,Fanfare,Male/Male,2013,Rock/Alternative Roots/Alt Country,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
390936157,Von Thronstahl,Dressed In Black Uniforms,Sacrificare,"",2012,Traditional/Folk/Traditional U.S. Folk,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
389592203,Hauschka,North Brother Island,A Ndo C Y,Male/Male,2015,Classical/Classical Crossover/Classical Fusion,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
379283234,Moriarty,Fireday,Gee Whiz But This Is A Lonesome Town,Mixed/Mixed Group,2007,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
376338558,Александр Кутиков,О чём небо плачет,Демоны любви,"",2009,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/60s
374177413,Rob Zombie,Sawdust In The Blood,Educated Horses,Male/Male,2006,Rock/Metal/Nu-Metal,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
372579307,Die Verbannten Kinder Evas,Mistrust,Dusk And Void Became Alive,"",2013,Rock/Metal/Heavy Metal,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
363911152,Kingdom Come,Silhouette Paintings,Perpetual,Male/Male Group,2008,Rock/Hard Rock/General Hard Rock,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
345438057,José González,Crosses,Veneer,Male/Male,2003,Alternative a Punk/Indie Rock/General Indie Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/60s
255382909,Mantus,Wir warten auf den Tod,Zeit muss enden,Mixed/Mixed Group,2008,Rock/Metal/Gothic Metal,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
230302047,Johnny Hollow,Skeleton Song,Johnny Hollow,"",2005,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
425889930,Jay Munly,My Darling Sambo,Jimmy Carter Syndrome,"",2006,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
181475019,Lacrimosa,Refugium,Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
179247507,Einstürzende Neubauten,Nagorny Karabach,Alles Wieder Offen,Male/Male Group,2007,Alternative a Punk/Industrial/Industrial,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
