id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239468,Tengger Cavalry,Interlude,Mountain Side,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Other,Medium Tempo/Medium/60s
420750675,Wyclef Jean Feat. The Refugee Allstars,Down Lo Ho (Interlude),The Carnival,Male/Male Group,1997,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Other,Slow Tempo/Static/0
389588211,ALC PRESS INC.,14_Norah Jones Jude Law a Wong Kar-Wai_1,English Journal 200804,Unknown/Other,2008,Other/Spoken Word/General Spoken Word,Other,Slow Tempo/Static/0
379235350,Lee Holden,Stress And Internal Alchemy,Your Body Of Light,"",2009,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
326669007,研究社 ジョン・ビントリフa森田久司,leave ～ alone / none of someone's business,日本人が使えない 英語の重要フレーズ125,"",2009,Other/Spoken Word/General Spoken Word,Other,Slow Tempo/Static/0
315318227,05 Flucht In Die Zukunft,Flucht In Die Zukunft,05,"",2009,Other/Spoken Word/Audio Book,Other,Slow Tempo/Slow/40s
313515087,朝日出版社,85　WONDERS AROUND THE WORLD　トゥルカナ湖,CNN english express 15年01月号,Unknown/Other,2014,Other/Spoken Word/General Spoken Word,Other,Slow Tempo/Static/0
230318484,Ансамбль песни и пляски Советской армии имени А. В. Александрова,Эй ухнем,Ансамбль имени А.В.Александрова,"",1963,Traditional/Country/General Country,Other,Slow Tempo/Slow/40s
193498642,Сергей Калугин,Intro,Несло,Male/Male,1998,Pop/Western Pop/Singer-Songwriter,Other,Slow Tempo/Static/0
181320928,Konrad Beikircher,Die Wacht Am Rhein,... und singt ein Lied dabei [Disc 2],Male/Male,2004,Pop/Western Pop/Other Pop,Other,Slow Tempo/Very Slow/30s
