id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239263,Sonne Hagal,Eismahd,Helfahrt,"",2002,Traditional/Folk/Traditional U.S. Folk,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
456239116,Yo-Yo Ma,Tan Dun: Crouching Tiger Hidden Dragon - The Eternal Vow,Classic Yo-Yo,Mixed/Mixed Group,2001,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
456239074,Егор Летов,Моя оборона,Русское поле эксперимента (акустика),Male/Male,1998,Rock/Mainstream Rock/General Mainstream Rock,Romantic/Sweet / Sincere,Medium Tempo/Medium/70s
456239030,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
439428660,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
408946503,Tuxedomoon / Cult With No Name,Don,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
407933991,Ludovico Einaudi,Experience,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
404341138,Dead Can Dance,In The Kingdom Of The Blind,The Serpent's Egg,Mixed/Mixed Duo,1988,Alternative a Punk/Indie Rock/Dream Pop,Romantic/Dramatic / Romantic,Medium Tempo/Medium/80s
393917029,Stanislav Artemyev,Gust (Orchestral),Manifestation,"",2014,Other/Data a Other/Data a Other,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
373394625,Various Artists,Main Title from Children of a Lesser God (1986),Paramount Pictures 90th Anniversary Memorable Scores [Disc 2],Female/Female,2002,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
370253534,Sleipnir,Unbekannter Soldat,Auslese Teil1 - 15 Jahre Zwischen 6 a 12 Saiten,Male/Male Group,0,Alternative a Punk/Punk/Hardcore Punk,Romantic/Heartfelt Passion,Slow Tempo/Slow/40s
369696854,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
367437610,Scarlet Leaves,Dust and Silence,Deep Sad Frustration,"",2015,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
362784539,Various Artists,The Fields Of Athenry,Irish Drinking Songs,"",2005,Traditional/Folk/Traditional U.S. Folk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
362780015,Various Artists,The Fields Of Athenry,Irish Drinking Songs,"",2005,Traditional/Folk/Traditional U.S. Folk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
362767719,Various Artists,The Fields Of Athenry,Irish Drinking Songs,"",2005,Traditional/Folk/Traditional U.S. Folk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
344592295,Syd Matters,Obstacles,Someday We Will Foresee Obstacles,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
314281267,The Higher,Histrionics,On Fire,Male/Male Group,2007,Alternative a Punk/Punk/Pop Punk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
313517398,Aura Noctis,Viajes (Live),En Directo 2015,"",2015,Electronica/Dance a Club/Club Dance,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
313465339,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
298878986,Luc Arbogast,Nausicaa (La Moldau),Odysseus,Male/Male,2013,Pop/Western Pop/World Pop Fusion,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
294228954,The Fureys,Didn't It Rain?,Winds Of Change,Male/Male Group,2005,Traditional/Celtic/Celtic,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
279498969,Алиса,Веретено,...Танцевать,Male/Male Group,2001,"",Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
275309922,Emma Shapplin,Miserere Venere...,Carmine Meo,Female/Female,1998,Classical/Classical Crossover/Classical Crossover Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
255605855,Дважды Краснознамённый ордена Красной Звезды академический ансамбль песни и пляски Советской Армии им. А. В. Александрова,Эх дороги…,Солдат - всегда солдат,"",2014,Traditional/Other Traditions/General World,Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
251498098,Различные Исполнители,Метель тройка,Шедевры инструментальной музыки - 1,"",0,Classical/Other Classical/General Classical,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
247262098,Оргия Праведников,Уходящее Солнце,Уходящее Солнце,Male/Male Group,2007,"",Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
242619029,Dierks Bentley,Come A Little Closer,Modern Day Drifter,Male/Male,2005,Traditional/Country/Contemporary Country,Romantic/Sweet / Sincere,Slow Tempo/Slow/40s
212774633,Василий К.,Вернуться назад Feat. The Kürtens,Массаракш,Male/Male,2003,Rock/Mainstream Rock/General Mainstream Rock,Romantic/Heartfelt Passion,Slow Tempo/Very Slow/30s
210126988,Василий К.,Вернуться назад Feat. The Kürtens,Массаракш,Male/Male,2003,Rock/Mainstream Rock/General Mainstream Rock,Romantic/Heartfelt Passion,Slow Tempo/Very Slow/30s
186331426,Оргия Праведников,Уходящее Солнце,Уходящее Солнце,Male/Male Group,2007,"",Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
185197048,川井憲次,Voyage To Avalon,Avalon オリジナルサウンドトラック,Male/Male,2001,Soundtrack/Original Film/TV Music/Anime Film/TV Music,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
185086430,Оргия Праведников,Уходящее Солнце,Уходящее Солнце,Male/Male Group,2007,"",Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
183041956,Ronan Hardiman,Strings Of Fire,Michael Flatley's Feet of Flames,Male/Male,1999,Other/New Age/New Age World Music,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/60s
182721800,Dargaard,Arcanum Mortis,Eternity Rites,Mixed/Mixed Duo,2013,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
182721652,Dargaard,Queen Of The Woods,Rise And Fall,Mixed/Mixed Duo,2010,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
181474969,Lacrimosa,Interlude - Feuerzug (Part 1) [Instrumental],Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
177318249,My Dying Bride,For My Fallen Angel,Like Gods Of The Sun,Male/Male Group,1996,Rock/Metal/Doom Metal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
170464785,X-Ray Dog,Time Will Tell,XRCD009 Doggie Style,Unknown/Other,2002,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
165104960,Renaissance,Ocean Gypsy,Scheherazade and other stories,Mixed/Mixed Group,2010,Rock/70's Rock/Classic Prog,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
