id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239417,Morthem Vlade Art,Splendor In The Grass,Organic But Not Mental,"",2000,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/100s
456239399,AC/DC,Let Me Put My Love Into You,Back In Black,Male/Male Group,1980,Rock/70's Rock/Classic Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/100s
456239268,Tiamat,The Sleeping Beauty,Clouds,Male/Male Group,1992,Rock/Metal/Gothic Metal,Rowdy/Confident / Tough,Medium Tempo/Medium/80s
456239165,Yeah Yeah Yeahs,Phenomena,Show Your Bones,Mixed/Mixed Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
456239094,The Kentucky Headhunters,16 a Single,Electric Barnyard,Male/Male Group,1991,Traditional/Country/Urban Cowboy,Rowdy/Confident / Tough,Medium Tempo/Medium Slow/60s
442914844,J Mascis,Heavy Metal Ai Giri Nandini,Sing a Chant for Amma,Male/Male,2006,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
194777799,Гражданская Оборона,И вновь продолжается бой,Концерт 4 июля 1997 года,Mixed/Mixed Group,0,"",Rowdy/Confident / Tough,Medium Tempo/Medium/80s
424162809,Archie Bronson Outfit,Cherry Lips,Derdang Derdang,Male/Male Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/100s
423949135,Umbra et Imago,Mein Buch,Dunkle Energie,Male/Male Group,2001,Alternative a Punk/Goth/Goth,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/90s
422404031,Ewigheim,Nicht Mehr,24/7,Male/Male Group,2014,Rock/Metal/Gothic Metal,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
422403226,Ewigheim,Tanz Um Dein Leben,24/7,Male/Male Group,2014,Rock/Metal/Gothic Metal,Rowdy/Confident / Tough,Medium Tempo/Medium/80s
420821329,Megaherz,Wer hat Angst vorm schwarzen Mann,Erdwärts,Male/Male Group,2015,Rock/Metal/Industrial Metal,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
