id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239190,Chelsea Wolfe,Hypnos,Hypnos / Flame,Female/Female,2016,Alternative a Punk/Goth/Goth,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
456239184,Ordo Rosarius Equilibrio,Vision Libertine (The Magnificence Of Nihilism),Vision:Libertine The Hangman's Triad,Mixed/Mixed Group,2016,Alternative a Punk/Synth Pop/Synth Pop,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
456239160,Beck,Whiskeyclone Hotel City 1997,Mellow Gold,Male/Male,1994,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
436104165,Ordo Rosarius Equilibrio a Spiritual Front,Three Is An Orgy Four Is Forever,Satyriasis - Somewhere Between Equilibrium And Nihilism,Mixed/Mixed Group,2005,Alternative a Punk/Synth Pop/Synth Pop,Melancholy/Sad / Soulful,Slow Tempo/Very Slow/30s
424459026,Jackson C. Frank,My Name Is Carnival,Blues Run The Game - Jackson C. Frank,Male/Male,2016,Rock/Folk Rock/Classic Folk Rock,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
423691283,Elizaveta,Trap,Messenger,Female/Female,2015,Alternative a Punk/Indie Rock/Indie Pop,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
383324540,Daemonia Nymphe,Invoking pan,Daemonia nymphe,Mixed/Mixed Group,2002,Alternative a Punk/Indie Rock/Dream Pop,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
377927720,Strangeweather,Midnight Sun,Like Shadows In Grey Rivers,"",2013,Pop/Western Pop/Pop Vocal,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
317677692,Strangeweather,Mourning Sun,Like Shadows In Grey Rivers,"",2013,Pop/Western Pop/Pop Vocal,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
259462880,Patti Smith,Smells Like Teen Spirit,Twelve,Female/Female,2007,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
212782306,Led Zeppelin,Stairway To Heaven,Led Zeppelin IV,Male/Male Group,1971,Rock/70's Rock/Classic Hard Rock,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
