id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239213,Rome,Eagle and Serpent,Die Aesthetik der Herrschaftsfreiheit - Band 2 (Aufruhr or a Cross of Fire),Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Sentimental/Gentle Bittersweet,Medium Tempo/Medium Slow/60s
456239148,Various Artists,Let Yourself In For It (The Color Of Money/Soundtrack Version),The Color Of Money,Male/Male,1986,Pop/Western Pop/Adult Contemporary,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
397353733,Sonata Arctica,Shy,Takatalvi,Male/Male Group,2003,Rock/Metal/Power Metal,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/80s
369766617,The Wolfe Tones,Oro Se Do Bheatha Abhaile,Millennium Celebration Album [Disc 1],Male/Male Group,2014,Traditional/Celtic/Celtic,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
267070482,Townes Van Zandt,Lungs,Live At The Old Quarter Houston Texas,Male/Male,2007,Traditional/Classic Country/Texas Country,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
264240423,Kris Kristofferson,Casey's Last Ride,Kristofferson,Male/Male,1970,Traditional/Country/General Country,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
191983979,Phil Ochs,I Ain't Marching Anymore,I Ain't Marching Anymore,Male/Male,1967,Traditional/Folk/Contemporary U.S. Folk,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/80s
178999315,Любэ,Ты неси меня река,Собрание сочинений,Male/Male Group,2001,Pop/European Pop/Eastern European Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/70s
155305862,Гражданская Оборона,Любо,Реанимация,Mixed/Mixed Group,2005,"",Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
79246525,Simon a Garfunkel,Sounds Of Silence,The Concert In Central Park [Live],Male/Male Duo,1982,Pop/Western Pop/Folk Pop,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
