id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
308157698,Molly Nilsson,Whiskey Sour,These Things Take Time,Female/Female,2008,Alternative a Punk/Synth Pop/Synth Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/50s
456239353,Mark Lanegan a Duke Garwood,Black Pudding,Black Pudding,"",2013,Alternative a Punk/Alternative/Alternative Rock,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
416776575,Jimmy Buffett,Someone I Used To Love,License To Chill,Mixed/Mixed Duo,2004,Traditional/Classic Country/Neo-Traditional Country,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
379745683,Moriarty,Jimmy,Gee Whiz But This Is A Lonesome Town,Mixed/Mixed Group,2007,Alternative a Punk/Alternative Folk/Alternative Folk,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
326507999,Немного Нервно,Куда мне домой,Сны о Земле. Глава 2,"",2014,Traditional/Folk/Traditional U.S. Folk,Sentimental/Tender / Sincere,Medium Tempo/Medium/80s
269969670,Янка,Столетний Дождь,Стыд И Срам,Female/Female,2009,Rock/Mainstream Rock/General Mainstream Rock,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
250192772,Янка,Печаль Моя Светла,Домой!,Female/Female,2009,Rock/Mainstream Rock/General Mainstream Rock,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
209184911,Taylor Swift Feat. The Civil Wars,"Safe a Sound [From ""The Hunger Games"" Soundtrack]","Safe a Sound [From ""The Hunger Games"" Soundtrack] [Single]",Mixed/Mixed Group,2011,Traditional/Country/Americana,Sentimental/Tender / Sincere,Medium Tempo/Medium/70s
203878082,Botho Lukas Chor,Görg Von Frundsberg Führt Uns An,Wenn Die Landsknecht Singen,"",2014,Traditional/Country/General Country,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
197173966,Regina Spektor,Hero,Begin To Hope,Female/Female,2006,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
196918233,The Dubliners,On Raglan Road,Irish Pub Songs [Disc 2],Male/Male Group,1999,Traditional/Celtic/Celtic,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
175282164,ASP,Mein Herz erkennt dich immer,Zaubererbruder [Disc 1],Male/Male Group,2008,Rock/Metal/Industrial Metal,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
154543327,Nine Inch Nails,Something I Can Never Have,Pretty Hate Machine,Male/Male,1989,Alternative a Punk/Industrial/Industrial,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
