id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239522,Andy Jackson,Lighthouse,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
456239504,Wardruna,Tyr,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
456239501,Wardruna,MannaR - Drivande,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
456239488,The Mount Fuji Doomjazz Corporation,Three,Doomjazz Future Corpses!,"",2007,Electronica/Electronica Mainstream/Pop Electronica,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
456239453,Janus,Reptil,Schlafende Hunde,Male/Male Duo,2000,"",Somber/Creepy / Ominous,Medium Tempo/Medium/60s
456239403,Set Fire To Flames,Small Steps Against Inertia/Echo Of A Dead End,Telegraphs In Negative/Mouths Trapped In Static [Disc 1],Male/Male Group,2003,Alternative a Punk/Indie Rock/Post-Rock,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
456239215,Rome,Birds Of Prey,Nera,Male/Male,2010,Urban/Contemporary RaB/Soul/Urban AC,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
456239195,Wardruna,Jara,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
456239193,Wardruna,Heimta Thurs,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
456239187,Rome,Make You a Sword of Me,Coriolan,Male/Male,2016,Urban/Contemporary RaB/Soul/Urban AC,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
456239076,Mogwai,Pripyat,Atomic,Male/Male Group,2016,Alternative a Punk/Indie Rock/Post-Rock,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
418306416,Nathan Lanier,Sand (Featuring Karen Whipple),Sand (Featuring Karen Whipple) [Single],Male/Male,2013,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
414686170,Das Ich,Es ist ja Krieg.....,Die Propheten,Male/Male Group,2010,Alternative a Punk/Goth/Goth,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
412081452,Der Blaue Reiter,The Return Of The Light,Le Paradise Funèbre L'Envers Du Tristesse,"",2006,Alternative a Punk/Goth/Goth,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
412080546,Der Blaue Reiter,La Clameur De L'Ombre,Le Paradise Funèbre L'Envers Du Tristesse,"",2006,Alternative a Punk/Goth/Goth,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
408922669,Tuxedomoon / Cult With No Name,Now It's Dark,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
404349034,Matchess,Sinister Prophecies of Coming Catastrophe,Somnaphoria,"",2015,Alternative a Punk/Alternative/Alternative Rock,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
397582390,Dismal Beeches,Myrkviðr,Into the Woods,"",2015,Alternative a Punk/Alternative/Alternative Rock,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
397578813,Dismal Beeches,Through the Depths of the Mystic Forest at Dusk,Into the Woods,"",2015,Alternative a Punk/Alternative/Alternative Rock,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
397342059,Portishead,Mourning Air,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
385924558,Black Space Riders,Black Book Of Cosmic Salvation Part 1: A Short Mess (I),Black Space Riders,"",2010,Rock/Mainstream Rock/General Mainstream Rock,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
367192014,Lost In Tears,Intro,Dialogue with Mirror and God,"",2002,Rock/Metal/Heavy Metal,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
364196975,Sabled Sun,The Space Center,2147,"",2015,Electronica/Dance a Club/Club Dance,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
364186003,Sabled Sun,Our Mechanical Children,2147,"",2015,Electronica/Dance a Club/Club Dance,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
363940459,Dark Sanctuary,Night Rain,Royaume Melancolique,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Dream Pop,Somber/Creepy / Ominous,Medium Tempo/Medium/80s
349684777,Lustmord,The Eliminating Angel,Metavoid,Male/Male,2001,Alternative a Punk/Industrial/Industrial,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
349542847,Lustmord,Blood Deep In Dread,Metavoid,Male/Male,2001,Alternative a Punk/Industrial/Industrial,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
269712021,Irfan,Peregrinatio,Irfan,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Dream Pop,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
237880804,Ayreon,Comatose,01011001 (Y),Male/Male Group,2008,Rock/Metal/Progressive Metal,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
215448788,Tyler Bates,Halloween Theme 2009,Halloween 2 Soundtrack,Male/Male,2009,Soundtrack/Original Film/TV Music/Action Film/TV Music,Somber/Creepy / Ominous,Medium Tempo/Medium Fast/90s
215442738,Tyler Bates,The Hot Gates,300,Male/Male,2007,Soundtrack/Original Film/TV Music/Action Film/TV Music,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
213152597,Fever Ray,If I Had A Heart,Fever Ray,Female/Female,2009,Alternative a Punk/Indie Rock/Post-Modern Art Music,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
196918288,Carter Burwell,Lamp Store Shootout,The Corruptor,Male/Male,1999,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium/60s
191143414,Edvard Grieg,Grieg: Peer Gynt Suite #1 Op. 46 - 4. In The Hall Of The Mountain King,Grieg: Peer Gynt Suites #1 a 2 Piano Concerto,Male/Male,0,Classical/Romantic Era/Romantic Era Instrumental,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
185065715,Chris Rea,The Road To Hell (Part I),The Road To Hell,Male/Male,1989,Pop/Western Pop/Singer-Songwriter,Somber/Creepy / Ominous,Medium Tempo/Medium/60s
183187479,Jesper Kyd,Apocalypse,Hitman: Blood Money,Male/Male,2010,Soundtrack/Game Music/Game Music,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
176784707,Virgin Black,Midnight's Hymn,Requiem - Mezzo Forte,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
167016204,Godspeed You! Black Emperor,Static,Lift Your Skinny Fists Like Antennas to Heaven,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Post-Rock,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
166258189,Hans Zimmer a James Newton Howard,Why So Serious?,The Dark Knight,Male/Male Duo,2008,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
161065131,Underworld a John Murphy,Sunshine (Adagio In D Minor),Sunshine,Mixed/Mixed Group,2008,Soundtrack/Original Film/TV Music/General Film Music,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
