id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239344,Zodiac,Provincial Disco,Disco Alliance,Male/Male Group,2013,Alternative a Punk/Synth Pop/Synth Pop,Sophisticated/Dark Playful,Fast Tempo/Fast/140s
456239125,Summoning,Bauglir,Oath Bound,Male/Male Group,2006,Rock/Metal/Black Metal,Sophisticated/Dark Playful,Medium Tempo/Medium/80s
410671757,Omnia,Fidhe Ra Huri,Crone of War,Mixed/Mixed Group,2004,Other/New Age/New Age World Music,Sophisticated/Dark Playful,Fast Tempo/Fast/130s
409593127,17 Hippies,Deine Tränen,Heimlich,Mixed/Mixed Group,2007,Pop/Western Pop/World Pop Fusion,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/120s
402675013,Alina Orlova,Amerika,Mutabor,Female/Female,2011,Pop/European Pop/Eastern European Pop,Sophisticated/Dark Playful,Medium Tempo/Medium/70s
380154788,Karel Svoboda,Die Jagd Auf Das Aschenbrödel I,3 Haselnüsse Für Aschenbrödel,Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Dark Playful,Medium Tempo/Medium/70s
379971010,Moriarty,Cottonflower,Gee Whiz But This Is A Lonesome Town,Mixed/Mixed Group,2007,Alternative a Punk/Alternative Folk/Alternative Folk,Sophisticated/Dark Playful,Medium Tempo/Medium/80s
371500155,Beltaine,An Astrailhad,Rockhill,"",2015,Traditional/Folk/Traditional U.S. Folk,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/90s
294446712,Various Artists,Scwartz's Sirba/A Briv Fun Yisroel,The Rough Guide To Klezmer Revival,"",2008,Traditional/European Traditional/Klezmer a European Jewish,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/110s
276808972,Sangre De Muerdago,Soños,Sangre De Muerdago,"",2011,Alternative a Punk/Alternative Folk/Alternative Folk,Sophisticated/Dark Playful,Fast Tempo/Fast/140s
264239354,The Handsome Family,Honcho,Scattered,Mixed/Mixed Duo,2010,Rock/Alternative Roots/Alt Country,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/110s
263035926,Di Naye Kapelye,Hangu and Freylachs from Podoloy,Di Naye Kapelye,Male/Male Group,1998,Traditional/European Traditional/Klezmer a European Jewish,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/120s
252107347,Di Naye Kapelye,Traktorist,Traktorist,Male/Male Group,2008,Traditional/European Traditional/Klezmer a European Jewish,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/100s
186443309,Наутилус Помпилиус,Черные птицы,Наугад,Male/Male Group,1994,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/120s
184914380,Крематорий,Маленькая девочка,Иллюзорный Мiр,Male/Male Group,2016,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Dark Playful,Fast Tempo/Fast/150s
162396587,Stélios Kazantzídis,Efuge Efuge,Epituxies,Male/Male,1988,Pop/European Pop/Mediterranean Pop,Sophisticated/Dark Playful,Medium Tempo/Medium/80s
