id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239273,クラウス・テンシュテット/ロンドン・フィルハーモニーアグネス・バルツァ(Cont)クラウス・ケーニヒ(T) (1982.12a1984.8),マーラー 交響曲「大地の歌」 (1908) - 3. Von der Jugend (青春について),マーラー 交響曲全集(テンシュテット 16CD),"",1984,Classical/Other Classical/General Classical,Stirring/Invigorating / Joyous,Medium Tempo/Medium Fast/90s
442095861,Adrian von Ziegler,Evocation,The Celtic Collection,Male/Male,2012,Other/New Age/New Age World Music,Stirring/Focused Sparkling,Fast Tempo/Very Fast/190s
367524003,Philip Glass Ensemble,Glass: Einstein On The Beach - Act 2/Sc. 2: Night Train,Glass: Einstein On The Beach [Disc 2],Mixed/Mixed Group,1993,Classical/Other Classical/General Classical,Stirring/Focused Sparkling,Fast Tempo/Very Fast/180s
320503130,Ensemble Alte Musik,Schiarazula Marazula,Pastime with good companie,"",2000,Classical/Medieval Era/General Medieval Era,Stirring/Focused Sparkling,Fast Tempo/Fast/130s
220708488,Дважды Краснознамённый ордена Красной Звезды академический ансамбль песни и пляски Советской Армии им. А. В. Александрова,Баллада о солдате,Солдат - всегда солдат,"",2014,Traditional/Other Traditions/General World,Stirring/Triumphant / Rousing,Medium Tempo/Medium Fast/90s
206387877,Ансамбль песни и пляски Советской армии имени А. В. Александрова,Пора в путь дорогу,День Победы,"",1993,Traditional/Other Traditions/General World,Stirring/Invigorating / Joyous,Fast Tempo/Fast/130s
202701997,Elizabeth Harwood Alexander Young Etc. Malcolm Sargent: Royal Philharmonic Orchestra Royal Choral Society,Air: But Thou Did'st Not Leave His Soul In Hell,Handel: Messiah [Disc 2],Mixed/Mixed Group,2007,Classical/Baroque Era/Baroque Vocal,Stirring/Invigorating / Joyous,Medium Tempo/Medium Fast/90s
192752794,Sting,After The Rain Has Fallen,Brand New Day,Male/Male,1999,Pop/Western Pop/Adult Contemporary,Stirring/Jubilant / Soulful,Medium Tempo/Medium Fast/100s
181464402,Patti Smith,Horses,Free Music Store,Female/Female,0,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Stirring/Jubilant / Soulful,Fast Tempo/Fast/130s
161060488,Sergei Prokofiev,Dance Of The Knights,Cinderella Op.87,Male/Male,1966,Classical/Modern Era/Modern Era Instrumental,Stirring/Triumphant / Rousing,Medium Tempo/Medium/80s
