id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
442914749,Shania Twain,If You Wanna Touch Her! Ask!,Come On Over,Female/Female,1997,Traditional/Country/Contemporary Country,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/100s
405106561,Massive Attack,Unfinished Sympathy,Blue Lines,Mixed/Mixed Group,1991,Electronica/Downtempo Lounge a Ambient/Trip Hop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
404536467,France Gall,Résiste,Tout Pour La Musique,Female/Female,2004,Pop/European Pop/French Pop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
395294164,Различные Исполнители,О Любви,Золотые Хиты СД2,"",0,Rock/Mainstream Rock/General Mainstream Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium/70s
391964727,Различные Исполнители,О Любви,Золотые Хиты СД2,"",0,Rock/Mainstream Rock/General Mainstream Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium/70s
363927836,Jethro Tull,Aqualung,Aqualung,Male/Male Group,1971,Rock/70's Rock/Classic Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/120s
359042653,Cinema Grafitti,Back To The Future (1985) Power Of Love,Starlight Orchestra / Great Film Themes Of The 80s,"",0,Soundtrack/Original Film/TV Music/General Film Music,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
303821928,Creedence Clearwater Revival,Fortunate Son,Willy And The Poor Boys,Male/Male Group,1969,Rock/70's Rock/Classic Rock,Upbeat/Party / Fun,Fast Tempo/Fast/130s
269690487,Amanda Marshall,Fall From Grace,Amanda Marshall,Female/Female,1996,Pop/Western Pop/Adult Alternative Pop,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/90s
264426410,Waylon Jennings Johnny Cash a Willie Nelson,The Highwayman,Country Highwaymen,"",0,Traditional/Classic Country/Outlaw Country,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
251348899,Крематорий,Дрянь,Двойной Альбом,Male/Male Group,1998,Rock/Mainstream Rock/General Mainstream Rock,Upbeat/Carefree Pop,Fast Tempo/Fast/130s
250396930,Young Dubliners,I'll Tell Me Ma,With All Due Respect (The Irish Sessions),Mixed/Mixed Group,2009,Rock/European Rock/Celtic Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
225277280,Erasure,Always,I Say I Say I Say,Male/Male Duo,1994,Alternative a Punk/Synth Pop/Synth Pop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/100s
203282865,Гражданская Оборона,Амнезия,Коллекция легендарных песен,Mixed/Mixed Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Upbeat/Party / Fun,Medium Tempo/Medium Fast/120s
192080607,Stealers Wheel,Stuck In The Middle With You,Stealers Wheel,Male/Male Duo,1972,Rock/70's Rock/Classic Pop-Rock,Upbeat/Carefree Pop,Medium Tempo/Medium Fast/120s
190115764,Royal Republic,Addictive,Royal Republic and the Nosebreakers,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Upbeat/Carefree Pop,Medium Tempo/Medium/70s
189066106,Versengold,In einem Meer Aus Wein,Hoerensagen,"",2013,Traditional/Other Traditions/General World,Upbeat/Carefree Pop,Fast Tempo/Fast/130s
187124134,The Cure,Lullaby,Disintegration,Male/Male Group,1989,Alternative a Punk/Alternative/Alternative Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/90s
168781334,Stealers Wheel,Stuck In The Middle With You,Stealers Wheel,Male/Male Duo,1972,Rock/70's Rock/Classic Pop-Rock,Upbeat/Carefree Pop,Medium Tempo/Medium Fast/120s
166450086,Deep Purple,Mary Long,Who Do We Think We Are,Male/Male Group,1973,Rock/70's Rock/Classic Hard Rock,Upbeat/Happy / Soulful,Fast Tempo/Fast/130s
165066275,Надежда Кадышева и Ансамбль Золотое кольцо,Ой ты Галю,Уходи горе,"",0,Traditional/Other Traditions/General World,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/100s
162670140,Goran Bregović,Kalashnikov,Make Music Not War: Kalasnikov a Kalashnikov,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Upbeat/Carefree Pop,Medium Tempo/Medium/80s
158899627,Гражданская Оборона,Новая патриотическая,Коллекция легендарных песен,Mixed/Mixed Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Upbeat/Party / Fun,Fast Tempo/Fast/170s
157372766,Различные Исполнители,О Любви,Золотые Хиты СД2,"",0,Rock/Mainstream Rock/General Mainstream Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium/70s
