id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239512,This Way To The Egress,We'll All Soon Be Dead,This Delicious Cabaret,"",2011,Traditional/Electric Blues/General Blues,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
456239508,AC/DC,War Machine,Black Ice,Male/Male Group,2008,Rock/70's Rock/Classic Hard Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239449,Kuolemanlaakso,Where The River Runs Red,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239382,Clutch,The Dragonfly,The Elephant Riders,Male/Male Group,1998,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
456239364,Harold Martinez,The Killers Crow,Dead Man,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
456239218,The Living End,Staring Down The Barrel,Shift,Male/Male Group,2016,Alternative a Punk/Punk/Pop Punk,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
456239161,Recoil,Stalker,Unsound Methods,Male/Male,1997,Alternative a Punk/Synth Pop/Synth Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239154,Mr. Bison,Full Moon,Asteroid,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239119,Samael,Diamond Drops,Era One,Male/Male Group,2012,Rock/Metal/Doom Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239044,The Kills,Murdermile,No Wow,Mixed/Mixed Duo,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
456239032,The Kills,Doing It To Death,Ash a Ice,Mixed/Mixed Duo,2016,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
442909909,The Subways,Rock a Roll Queen,Young For Eternity,Mixed/Mixed Group,2005,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
442144152,The Pretty Reckless,Make Me Wanna Die,Light Me Up,Mixed/Mixed Group,2010,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
440250867,Ska-P,Intifada,¡¡Que Corra La Voz!!,Male/Male Group,2002,Other/Latin Rock/Latin Alternative,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
