id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239236,System Of A Down,Science,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/180s
440223812,Salem's Bend,Losing Sleep,Salem's Bend,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Wild / Rowdy,Fast Tempo/Fast/150s
415825949,Clutch,Immortal,Pure Rock Fury,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Medium Tempo/Medium Fast/100s
380927837,Zombie Ghost Train,Black White And Dead,Glad Rags a Body Bags,"",2006,Rock/50's Rock/Rockabilly,Rowdy/Wild / Rowdy,Fast Tempo/Fast/150s
367437449,Crocodiles,Do the Void,Boys,Male/Male Duo,2015,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Wild / Rowdy,Fast Tempo/Fast/150s
314890203,Nuclear Assault,Nuclear War,Game Over,Male/Male Group,2008,Rock/Metal/Thrash Metal,Rowdy/Wild / Rowdy,Fast Tempo/Fast/160s
279418520,Красные Звезды,Плёнки,Жiвой,"",2012,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/190s
275818874,Martha Reeves a The Vandellas,Nowhere To Run,Classic,Female/Female Group,2009,Urban/Classic RaB/Soul/Classic Motown,Rowdy/Wild / Rowdy,Fast Tempo/Fast/130s
237413719,Böhse Onkelz,Danke Für Nichts,Gestern,Male/Male Group,2001,Alternative a Punk/Punk/Hardcore Punk,Rowdy/Wild / Rowdy,Medium Tempo/Medium Fast/120s
215460681,The Duke Spirit,Surrender,Bruiser,Mixed/Mixed Group,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Wild / Rowdy,Fast Tempo/Fast/150s
198084156,Гражданская Оборона,Всё летит в пизду,Коллекция легендарных песен,Mixed/Mixed Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/200s
194531916,22-20s,22 Days,22-20s,Male/Male Group,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Wild / Rowdy,Medium Tempo/Medium Fast/100s
