id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239383,The Flaming Lips,Ego Tripping At The Gates Of Hell,Yoshimi Battles The Pink Robots,Male/Male Group,2002,Alternative a Punk/Indie Rock/Neo-Psychedelic,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
456239286,Valravn,Ólavur Riddararós,Valravn,Mixed/Mixed Group,2013,Alternative a Punk/Indie Rock/Post-Modern Art Music,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
439460187,Tiamat,Wings Of Heaven,Prey,Male/Male Group,2003,Rock/Metal/Gothic Metal,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
422674221,Miossec,Mes Crimes : Le Châtiment,L'Etreinte,Male/Male,2006,Pop/European Pop/Chanson,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
418278540,Delta Goodrem,Running Away,Innocent Eyes,Female/Female,2003,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
410665986,Mylène Farmer,Ainsi Soit-Je,Les Mots,Female/Female,2001,Pop/European Pop/French Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
401085870,Немного Нервно,Поехали Со Мной в Сибирь,Не Вынуждай Меня,"",2012,Traditional/Folk/Traditional U.S. Folk,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
379254025,RPA a The United Nations Of Sound,Are You Ready,United Nations Of Sound,"",2010,Pop/Western Pop/Pop Vocal,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
373730890,The Flaming Lips,Ego Tripping At The Gates Of Hell,Yoshimi Battles The Pink Robots,Male/Male Group,2002,Alternative a Punk/Indie Rock/Neo-Psychedelic,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
373153739,Robert Leiner,Laniakea Part 2,Melomania,"",2015,Electronica/Electronica Mainstream/Pop Electronica,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
364714575,Moon Far Away,Цветики,Беловодие,Mixed/Mixed Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
361423261,7б,Моя Любовь,Лучшие Песни,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
347255686,Ю-Питер,Чудеса Небесны,Имя Рек,Male/Male Group,2003,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
326492411,三代目 J Soul Brothers from EXILE TRIBE,Summer Dreams Come True,PLANET SEVEN,Male/Male Group,2015,Pop/Japanese Pop/J-Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
286848164,Wir Sind Helden,Du Erkennst Mich Nicht Wieder,Die Reklamation,Mixed/Mixed Group,2003,Pop/European Pop/German Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
286256745,Dolphin,Весна,Звезда,Male/Male,2004,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
277290730,Ногу Свело!,Идём на восток!,Идём На Восток!,Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
226437154,Bjørn Berge,Zebra,Fretwork,Male/Male,2009,Rock/70's Rock/Blues Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
206699613,Tiamat,The Sun Also Rises,The Scarred People,Male/Male Group,2012,Rock/Metal/Gothic Metal,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
193699894,Bjørn Berge,Accused,Blackwood,Male/Male,2011,Rock/70's Rock/Blues Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
189703929,L'Âme Immortelle,Dein Herz,Auf deinen Schwingen,Male/Male Group,2006,Rock/Metal/Gothic Metal,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
189039398,Letzte Instanz,Mein Leben,Schuldig,Male/Male Group,2009,Alternative a Punk/Indie Rock/Dream Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
188636574,The 69 Eyes,Sister Of Charity,Devils,Male/Male Group,2005,Alternative a Punk/Goth/Goth,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
183819871,Katzenjammer,To The Sea,Le Pop,Female/Female Group,2008,Alternative a Punk/Indie Rock/Indie Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/120s
176064349,Eluveitie,Brictom,Evocation I - The Arcane Dominion [Exclusive Bonus Version],Mixed/Mixed Group,2009,Rock/Metal/Black Metal,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
166716712,The Birthday Massacre,Pale,Pins and Needles,Mixed/Mixed Group,2010,Alternative a Punk/Goth/Goth,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
165958172,Iron Maiden,Blood Brothers,Brave New World,Male/Male Group,2000,Rock/Metal/Classic British Metal,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
