id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239516,Andy Jackson,Ballooning,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/110s
456239452,Kuolemanlaakso,Deeper Into The Unknown,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239423,Bob Dylan,Thunder On The Mountain,Modern Times,Male/Male,2006,Rock/Folk Rock/Classic Folk Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
456239383,The Flaming Lips,Ego Tripping At The Gates Of Hell,Yoshimi Battles The Pink Robots,Male/Male Group,2002,Alternative a Punk/Indie Rock/Neo-Psychedelic,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
456239378,Woven Hand,To Make A Ring,Consider The Birds,Male/Male Group,2004,Traditional/Country/Americana,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
456239376,Woven Hand,Ain't No Sunshine,Woven Hand,Male/Male Group,2002,Traditional/Country/Americana,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
456239286,Valravn,Ólavur Riddararós,Valravn,Mixed/Mixed Group,2013,Alternative a Punk/Indie Rock/Post-Modern Art Music,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
456239206,Made In Poland,Love a Mist,Future Time,"",2009,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
456239178,Rotting Christ,Χ Ξ Σ [666],Κατα Τον Δαιμονα Εαυτου,Male/Male Group,2013,Rock/Metal/Black Metal,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
456239133,Nature Ganganbaigal,From Far Away,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Yearning/Energetic Dreamy,Medium Tempo/Medium/70s
456239118,Dernière Volonté,Mes Faiblesses,Devant Le Miroir,Male/Male,2008,Alternative a Punk/Goth/Goth,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
456239113,Third Day,The Everlasting,Offerings II: All I Have to Give,Male/Male Group,2003,Other/Religious/Christian Rock a Metal,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
456239054,U2,Red Hill Mining Town,The Joshua Tree,Male/Male Group,1987,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Energetic Dreamy,Medium Tempo/Medium/70s
439460187,Tiamat,Wings Of Heaven,Prey,Male/Male Group,2003,Rock/Metal/Gothic Metal,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
435335970,Jamie N Commons,The Preacher,Rumble And Sway EP,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Yearning/Sensitive / Exploring,Slow Tempo/Slow/40s
432367294,Dirtmusic,Black Gravity,BKO,Male/Male Group,2010,Rock/Alternative Roots/Roots Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
430460969,Woven Hand,Your Russia,Woven Hand,Male/Male Group,2002,Traditional/Country/Americana,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
430451361,Woven Hand,Cripplegate (Standing On Glass),Blush Music,Male/Male Group,2003,Traditional/Country/Americana,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/50s
424447416,My Dad Is Dead,Nothing Special,Shine(r),"",1996,Alternative a Punk/Alternative/Alternative Rock,Yearning/Bittersweet Pop,Medium Tempo/Medium Fast/100s
424447446,Third Coast Kings,Crush It,Third Coast Kings,"",2012,Urban/Classic RaB/Soul/Funk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
422674221,Miossec,Mes Crimes : Le Châtiment,L'Etreinte,Male/Male,2006,Pop/European Pop/Chanson,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
418295471,The Black Ryder,Let Me Be Your Light,The Door Behind the Door,Mixed/Mixed Duo,2015,Alternative a Punk/Indie Rock/Shoegazer,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/90s
418278540,Delta Goodrem,Running Away,Innocent Eyes,Female/Female,2003,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
416075042,Azure Ray,No Signs Of Pain,November,Female/Female Duo,2002,Alternative a Punk/Alternative Folk/Alternative Folk,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
410665996,Mylène Farmer,Jardin De Vienne,Ainsi Soit Je,Female/Female,1988,Pop/European Pop/French Pop,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/90s
410665986,Mylène Farmer,Ainsi Soit-Je,Les Mots,Female/Female,2001,Pop/European Pop/French Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
410429943,The Eden House,The Empty Space,Half Life,"",2013,Alternative a Punk/Alternative/Alternative Rock,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/110s
410137625,Solanaceae,Hemlock And Mandrake Fields,Solanaceae,"",2009,Traditional/Folk/Traditional U.S. Folk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/100s
409590733,17 Hippies,Adieu,El Dorado,Mixed/Mixed Group,2009,Pop/Western Pop/World Pop Fusion,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
408424569,Térsivel,Those Days Are Gone,For One Pagan Brotherhood,"",2011,Rock/Metal/Heavy Metal,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
403790473,Carla Bruni,Quelqu'un M'a Dit,Quelqu'un M'a Dit,Female/Female,2002,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
401085870,Немного Нервно,Поехали Со Мной в Сибирь,Не Вынуждай Меня,"",2012,Traditional/Folk/Traditional U.S. Folk,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
396818098,Nick Cave a The Bad Seeds,Spell,Abattoir Blues/The Lyre Of Orpheus [Disc 2],Male/Male Group,2004,Alternative a Punk/Indie Rock/Original Post-Punk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/50s
383574576,Daemonia Nymphe,Daemonos,Krataia asterope,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Dream Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
379746343,Moriarty,Private Lily,Gee Whiz But This Is A Lonesome Town,Mixed/Mixed Group,2007,Alternative a Punk/Alternative Folk/Alternative Folk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/100s
379254025,RPA a The United Nations Of Sound,Are You Ready,United Nations Of Sound,"",2010,Pop/Western Pop/Pop Vocal,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
377923383,Strangeweather,We Tried To Put Our Feet To Ground But Lost Our Legs Unto The Flux,Like Shadows In Grey Rivers,"",2013,Pop/Western Pop/Pop Vocal,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
376347377,После 11,Крылья,Детям До 16,"",2009,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
373734574,R.E.M.,Aftermath,Around The Sun,Male/Male Group,2004,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Bittersweet Pop,Medium Tempo/Medium Fast/110s
373730890,The Flaming Lips,Ego Tripping At The Gates Of Hell,Yoshimi Battles The Pink Robots,Male/Male Group,2002,Alternative a Punk/Indie Rock/Neo-Psychedelic,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
373724330,Bozzio Levin Stevens,Duende,Black Light Syndrome,Male/Male Group,1997,Rock/70's Rock/Classic Prog,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
373153739,Robert Leiner,Laniakea Part 2,Melomania,"",2015,Electronica/Electronica Mainstream/Pop Electronica,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
371120970,The Black Angels,Bloodhounds on My Trail,Passover,Male/Male Group,2006,Alternative a Punk/Indie Rock/Neo-Psychedelic,Yearning/Bittersweet Pop,Medium Tempo/Medium Fast/110s
175078230,Eluveitie,Isara,Everything Remains (As It Never Was),Mixed/Mixed Group,2010,Rock/Metal/Black Metal,Yearning/Bittersweet Pop,Medium Tempo/Medium/80s
367314944,Massive Attack,False Flags,Collected [Disc 2],Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Trip Hop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
364714575,Moon Far Away,Цветики,Беловодие,Mixed/Mixed Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
412116832,The Darling Buds,One Thing Leads To Another,Erotica,Mixed/Mixed Group,1992,Alternative a Punk/Alternative/Alternative Pop,Yearning/Energetic Dreamy,Medium Tempo/Medium/70s
361423261,7б,Моя Любовь,Лучшие Песни,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
347255686,Ю-Питер,Чудеса Небесны,Имя Рек,Male/Male Group,2003,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
336188663,Zero 7,I Have Seen,Simple Things,Mixed/Mixed Group,2001,Electronica/Downtempo Lounge a Ambient/General Downtempo,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
325832567,Primus,Over The Falls,Brown Album,Male/Male Group,1997,Alternative a Punk/Alternative/Funk Metal,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
326492411,三代目 J Soul Brothers from EXILE TRIBE,Summer Dreams Come True,PLANET SEVEN,Male/Male Group,2015,Pop/Japanese Pop/J-Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
