id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239470,Tengger Cavalry,Galloping Towards the Great Land,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
456239395,Risin Sabotage,Vultures,Risin Sabotage,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
456239246,Dawn Of Ashes,Tribe of Chemosh,Theophany,Male/Male Group,2016,Rock/Metal/Industrial Metal,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/180s
456239236,System Of A Down,Science,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/180s
456239038,Metallica,Sweet Amber,St. Anger,Male/Male Group,2003,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
421622958,The Bones,Chainsaw,Flash The Leather,Male/Male Group,2015,Alternative a Punk/Punk/General Punk,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
367524003,Philip Glass Ensemble,Glass: Einstein On The Beach - Act 2/Sc. 2: Night Train,Glass: Einstein On The Beach [Disc 2],Mixed/Mixed Group,1993,Classical/Other Classical/General Classical,Stirring/Focused Sparkling,Fast Tempo/Very Fast/180s
336554521,Ajattara,Massat,Noitumaa,Male/Male Group,2009,Rock/Metal/Black Metal,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/180s
273614713,Фёдор Шаляпин,Эх Ты Ванька,Федор Шаляпин. Часть II,Male/Male,2000,Classical/Other Classical/Classical Vocal,Fiery/Energetic Abstract Groove,Fast Tempo/Very Fast/180s
216961693,Raubtier,Dragunov Bonus,Det Finns Bara Krig,Male/Male Group,2012,Rock/Metal/Industrial Metal,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
215009145,The Jim Carroll Band,People Who Died,Catholic Boy,Male/Male Group,1980,Alternative a Punk/New Wave Rock/New Wave Rock,Excited/Happy Excitement,Fast Tempo/Very Fast/180s
210099499,Samael,Quasar Waves,Solar Soul,Male/Male Group,2007,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
195860440,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
195858135,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
194563871,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
193705514,Mixed By DJ Brisk,In Effect - It's Your (Infinity),Happy Hardcore Foundation 3,"",2000,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
190056856,The Raveonettes,Beat City,Whip It On,Mixed/Mixed Duo,2002,Alternative a Punk/Indie Rock/Noise Pop,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/180s
172606752,Korpiklaani,Vodka,Karkelo [Bonus Track],Male/Male Group,2009,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
162606309,Kid Rock,Bawitdaba,Devil Without A Cause,Male/Male,1998,Rock/Metal/Rap Metal,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
