id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239459,Kuolemanlaakso,Roll The Dice With The Devil,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239441,Tiamat,The Temple Of The Crescent Moon,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239426,John Garcia,Flower,John Garcia,Male/Male,2014,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
419674980,Аркона,Купала И Кострома,От Сердца К Небу,Mixed/Mixed Group,2007,"",Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
400855150,Guano Apes,Big In Japan,Don't Give Me Names,Mixed/Mixed Group,2000,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
399414859,Harpyie,Freakshow,Freakshow,Male/Male Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
261142482,Omega Lithium,Andromeda,Dreams in Formaline,"",2015,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
195100102,Ensiferum,Token Of Time,Ensiferum,Mixed/Mixed Group,2001,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
188858912,Epica,The Last Crusade,The Classical Conspiracy,Mixed/Mixed Group,2009,Rock/Metal/Progressive Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
173265125,Hypocrisy,Edge Of Madness,Catch 22,Male/Male Group,2002,Rock/Metal/Death Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
170426660,Eluveitie,AnDro,Spirit,Mixed/Mixed Group,2006,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
