id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239539,:Of The Wand And The Moon:,Sunspot,The Lone Descent,"",2011,Traditional/Country/General Country,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239538,Asteroid,Wolf a Snake,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239537,Asteroid,Last Days,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239531,Tool,Sober,Undertow,Male/Male Group,1993,Rock/Metal/Nu-Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239527,Various Artists,Towards The Within,Voce: Music From Women Of The World,"",1999,Pop/Easy Listening/Other Easy Listening,Serious/Hypnotic Rhythm,Medium Tempo/Medium/70s
456239521,Andy Jackson,Type 2 Error,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239519,Andy Jackson,Like You,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239518,Andy Jackson,The Gyre,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239517,Andy Jackson,Drownings,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239514,Andy Jackson,Legends of Mysterious Apes,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239511,Frenchy And The Punk,Steampunk Pixie,Hey Hey Cabaret,"",2012,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
456239499,Wardruna,Raido,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
456239496,Wardruna,Wunjo,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/70s
456239490,She Loves Me 1994 London Cast,Sounds While Selling,She Loves Me - 1994 London Cast Recording,"",1994,Soundtrack/Original Film/TV Music/General Film Music,Lively/Showy / Rousing,Medium Tempo/Medium/80s
456239468,Tengger Cavalry,Interlude,Mountain Side,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Other,Medium Tempo/Medium/60s
456239467,Tengger Cavalry,Hymn of the Earth,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239454,Blind Dog,Coming To,The Last Adventures of Captain Dog,"",2001,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239453,Janus,Reptil,Schlafende Hunde,Male/Male Duo,2000,"",Somber/Creepy / Ominous,Medium Tempo/Medium/60s
456239449,Kuolemanlaakso,Where The River Runs Red,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239447,Rick Wakeman,Tales from the Lindenbrook Sea a. River of Hope b. Hunter and Hunted c. Fight for Life,Return To The Centre Of The Earth,Male/Male,1999,Rock/70's Rock/Classic Prog,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
