id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239526,Вика Цыганова,Русская Водка,Русская Водка,Female/Female,2002,Pop/European Pop/Eastern European Pop,Urgent/Dark Urgent,Medium Tempo/Medium Fast/120s
456239524,Brant Bjork,Luvin',Tao Of The Devil,Male/Male,2016,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/110s
456239516,Andy Jackson,Ballooning,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/110s
456239513,Various Artists,The Haunted Phonograph,A Dark Cabaret 2,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Lively/Showy / Rousing,Medium Tempo/Medium Fast/90s
456239510,Blood Axis,Follow Me Up to Carlow,Ultimacy,Mixed/Mixed Group,2011,Rock/Metal/Black Metal,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
456239509,Blood Axis,The March of Brian Boru,Ultimacy,Mixed/Mixed Group,2011,Rock/Metal/Black Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
456239508,AC/DC,War Machine,Black Ice,Male/Male Group,2008,Rock/70's Rock/Classic Hard Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239507,Irrlicht,Dekadenz (Dekonstrukt),End.Klang,"",2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
374007412,Electric Six,Danger! High Voltage,Fire,Male/Male Group,2003,Alternative a Punk/Indie Rock/Neo-Glam,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
456239495,Space Chaser,Judgement Day,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
456239493,Space Chaser,Xenomorph,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239483,Монгол Шуудан,Мама-анархия,Паровоз-анархия,Male/Male Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/90s
456239480,Монгол Шуудан,Винни Пух,Вечная Мерзлота,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
456239479,許慧欣,與狼共舞,謎,Female/Female,2006,Pop/Chinese Pop/General Chinese Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
