id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239520,Andy Jackson,Ships of Dreams,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239515,Andy Jackson,Type 1 Error,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239504,Wardruna,Tyr,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
456239497,Wardruna,Odal,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239458,Jack Johnson,No Other Way,In Between Dreams,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Easygoing/Friendly,Medium Tempo/Medium Slow/50s
456239450,Kuolemanlaakso,Glastonburyn Lehto,Tulijoutsen,Male/Male Group,2014,Rock/Metal/Doom Metal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
308157698,Molly Nilsson,Whiskey Sour,These Things Take Time,Female/Female,2008,Alternative a Punk/Synth Pop/Synth Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/50s
456239350,Steve Von Till,Night of the Moon,A Life Unto Itself,"",2015,Rock/Folk Rock/General Folk Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239340,Estampie,Ungersven,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239324,Esben And The Witch,Dig Your Fingers In,A New Nature,Mixed/Mixed Group,2014,Alternative a Punk/Indie Rock/Dream Pop,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
456239288,Amadou a Mariam,Je Pense A Toi,Sou Ni Tilé,Mixed/Mixed Duo,1999,Traditional/African Traditional/West African,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/50s
456239261,Rome,One Flesh,L'Assassin,Male/Male,2006,Urban/Contemporary RaB/Soul/Urban AC,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
456239253,Mantus,Welt in Flammen,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239214,Rome,In Cruel Fire,Die Aesthetik der Herrschaftsfreiheit - Band 1,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
456239191,Wardruna,Hagall,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239171,Johnny Hollow,Alibi (Album Version (Explicit)),Dirty Hands (Explicit),"",2008,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239163,Outersect,Mama Night's Tune,Fenris Licks Your Hand,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239131,Nature Ganganbaigal,Legend On Horseback,To Where Tengger Leads Me,"",2014,Traditional/Country/General Country,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239049,Ordo Rosarius Equilibrio,Rituals of Love In The Passage of Genocide. Song of Rose,Make Love And War (The Wedlock of Equilibrium),Mixed/Mixed Group,2001,Alternative a Punk/Synth Pop/Synth Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239045,Ordo Rosarius Equilibrio,I Will Even After The Flowers Are Gone,Onani (Practice Makes Perfect),Mixed/Mixed Group,2009,Alternative a Punk/Synth Pop/Synth Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239035,The Poppy Family,Shadows on the Wall,A Good Thing Lost: 1968-1973,Mixed/Mixed Group,1996,Rock/60's Rock/Psychedelic Pop,Sensual/Soft Soulful,Medium Tempo/Medium Slow/50s
456239023,Alina Orlova,Neramios Mergaitės Daina (Live),LRT Opus Live,Female/Female,2013,Pop/European Pop/Eastern European Pop,Sophisticated/Intimate Bittersweet,Medium Tempo/Medium Slow/50s
443976512,Dernière Volonté,Prie Pour Moi,Prie Pour Moi,Male/Male,2016,Alternative a Punk/Goth/Goth,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
438990885,Aim,Cold Water Music,Cold Water Music,Male/Male,1999,Electronica/Downtempo Lounge a Ambient/Trip Hop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
437299949,Westlife,We Are One,Westlife,Male/Male Group,1999,Pop/Western Pop/Teen Boy Band,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
437299365,Westlife,We Are One,Westlife,Male/Male Group,1999,Pop/Western Pop/Teen Boy Band,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
434082751,Laura Marling,The Captain And The Hourglass,Alas I Cannot Swim,Female/Female,2008,Alternative a Punk/Alternative Folk/Alternative Folk,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
433932727,Jesper Kyd,Freedom Fighters,Freedom Fighters: Original Soundtrack,Male/Male,2010,Soundtrack/Game Music/Game Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
430451361,Woven Hand,Cripplegate (Standing On Glass),Blush Music,Male/Male Group,2003,Traditional/Country/Americana,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/50s
426183793,Corde Oblique,Cantastorie,Volonta d'Arte,"",2008,Traditional/Country/General Country,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
425879933,James Asher,Ocean Of Dreams,Feet In The Soil,Male/Male,2002,Pop/Western Pop/World Pop Fusion,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
424167740,Black Mountain,Wucan,In The Future,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Neo-Psychedelic,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
423614949,Aivoaula,Horseisland dub,Braindrop,"",2008,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
420171314,Albert Kuvezin a Yat-Kha,In A Gadda Da Vida,Re-Covers,Male/Male Duo,2005,Traditional/Asian Traditional/Mongolian Traditional,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
420147604,Tears For Fears,Everybody Wants To Rule The World,Songs From The Big Chair,Male/Male Duo,1985,Alternative a Punk/New Wave Pop/New Wave Pop,Urgent/Dark Pop,Medium Tempo/Medium Slow/50s
418329158,Brainstorm,Thunder Without Rain,Four Shores,Male/Male Group,2006,Pop/European Pop/Eastern European Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
418286836,The Black Ryder,Seventh Moon,The Door Behind the Door,Mixed/Mixed Duo,2015,Alternative a Punk/Indie Rock/Shoegazer,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
414726170,Martin Nonstatic,Saint Germain,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726154,Martin Nonstatic,Distance B,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726149,Martin Nonstatic,Tabula Rasa,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414726145,Martin Nonstatic,Inside Eyesight,Granite,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
414686170,Das Ich,Es ist ja Krieg.....,Die Propheten,Male/Male Group,2010,Alternative a Punk/Goth/Goth,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
414100402,Nitin Sawhney,Dark Day,Dystopian Dream,Male/Male,2015,Electronica/Electronica Fusion/South Asian Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
412136283,Mirabilis,Hara,Here and the Hereafter,"",2014,Alternative a Punk/Alternative/Alternative Rock,Peaceful/Quiet / Introspective,Medium Tempo/Medium Slow/50s
412127204,The Miles Davis Quintet,It Never Entered My Mind,Workin' With The Miles Davis Quintet,Male/Male Group,1959,Jazz/Bebop a Modern Jazz/Cool Jazz,Sentimental/Lyrical Sentimental,Medium Tempo/Medium Slow/50s
411905857,The Other Day,Engelstränen,Erato Azur. Des Auge Klang,"",0,Other/New Age/General New Age,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
411896559,ANKH,Autumn Day (Instrumental),Ich Habe Angst [EP],"",2010,Alternative a Punk/New Wave Pop/New Wave Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
410688359,Faun,Da Que Deus,Renaissance,Mixed/Mixed Group,2005,Rock/Metal/Industrial Metal,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
410142467,Ulver,Waltz Of King Karl,Svidd Neger,Male/Male Group,2003,Rock/Metal/Black Metal,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
408946511,Tuxedomoon / Cult With No Name,Alligator Briefcase,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
408946503,Tuxedomoon / Cult With No Name,Don,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
408919789,Tuxedomoon / Cult With No Name,Lumberton,Blue Velvet Revisited,Male/Male Group,2016,Soundtrack/Original Film/TV Music/General Film Music,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
