id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239522,Andy Jackson,Lighthouse,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
456239502,Wardruna,Isa,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239432,Bloody Hammers,The Reaper Comes,The Reaper Comes,"",2016,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239405,Mantus,Genesis,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
456239373,Chelsea Wolfe,We Hit A Wall,Pain Is Beauty,Female/Female,2013,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239356,Tom Waits a Crystal Gayle,Is There Any Way Out Of This Dream?,"Music From The Original Motion Picture ""One From The Heart""",Mixed/Mixed Duo,1991,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Suave / Sultry,Slow Tempo/Slow/40s
456239353,Mark Lanegan a Duke Garwood,Black Pudding,Black Pudding,"",2013,Alternative a Punk/Alternative/Alternative Rock,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
456239338,Vic Anselmo,Who Disturbs the Water,Who Disturbs the Water,"",2015,Traditional/Folk/Traditional U.S. Folk,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
456239285,Valravn,Lysabild,Koder På Snor,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Modern Art Music,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239237,Mantus,Zwischen den Nächten,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239225,Camp Kirkland,And There Was Light with Of the Father's Love Begotten (Downloadable Listening Trax),Alpha and Omega (Downloadable Listening Trax),"",2015,Other/Religious/Christian Rock a Metal,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239221,Beardfish,The One Inside Pt. 2 - My Companion Through Life,+4626-Comfortzone,Male/Male Group,2015,Rock/70's Rock/Neo-Prog Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
456239212,Sólstafir,Ótta,Ótta,Male/Male Group,2014,Rock/Metal/Black Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
