id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239522,Andy Jackson,Lighthouse,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
456239503,Wardruna,UruR,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
456239502,Wardruna,Isa,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
456239500,Wardruna,MannaR - Liv,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
456239498,Wardruna,Pertho,Runaljod - Ragnarok,Male/Male Group,2016,Other/New Age/New Age World Music,Somber/Enigmatic / Mysterious,Slow Tempo/Very Slow/30s
456239488,The Mount Fuji Doomjazz Corporation,Three,Doomjazz Future Corpses!,"",2007,Electronica/Electronica Mainstream/Pop Electronica,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
456239474,張惠妹,勇敢,勇敢,Female/Female,2003,Pop/Chinese Pop/General Chinese Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239439,BloodHoundz,To The Lord I Prey,Blood In Blood Out,"",2006,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239432,Bloody Hammers,The Reaper Comes,The Reaper Comes,"",2016,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239428,Rosenstolz,Die Liebe ist tot,Herz,Female/Female Group,2004,Pop/European Pop/German Pop,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
456239405,Mantus,Genesis,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
456239403,Set Fire To Flames,Small Steps Against Inertia/Echo Of A Dead End,Telegraphs In Negative/Mouths Trapped In Static [Disc 1],Male/Male Group,2003,Alternative a Punk/Indie Rock/Post-Rock,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
456239373,Chelsea Wolfe,We Hit A Wall,Pain Is Beauty,Female/Female,2013,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239365,Suspekt,Brænder Byen Ned,Elektra,Male/Male Group,2011,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
