id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239470,Tengger Cavalry,Galloping Towards the Great Land,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
456239465,Tengger Cavalry,Summon the Warrior,Ancient Call,"",2014,Pop/Western Pop/Pop Vocal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239459,Kuolemanlaakso,Roll The Dice With The Devil,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239441,Tiamat,The Temple Of The Crescent Moon,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239426,John Garcia,Flower,John Garcia,Male/Male,2014,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239395,Risin Sabotage,Vultures,Risin Sabotage,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
456239319,Schwarzer Engel,Der Sturm,Apokalypse,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/200s
456239315,Exodus,Good Day To Die,Force Of Habit,Male/Male Group,1992,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239255,Blue Glaze Mento Band,Dog War,Authentic Mento Music,"",2001,Other/Reggae/Other Reggae,Lively/Exuberant / Festive,Fast Tempo/Very Fast/220s
456239246,Dawn Of Ashes,Tribe of Chemosh,Theophany,Male/Male Group,2016,Rock/Metal/Industrial Metal,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/180s
456239236,System Of A Down,Science,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/180s
456239194,Wardruna,Thurs,Gap Var Ginnunga,Male/Male Group,2014,Other/New Age/New Age World Music,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/220s
456239179,Rotting Christ,Iwa Voodoo,Κατα Τον Δαιμονα Εαυτου,Male/Male Group,2013,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/250s
