Artist,Title,genre_id
Karen O.,The Moon Song (OST Her),18
Egor Grushin,New Theme (2013),1001
A-ha,Don't Do Me Any Favours,1
A-ha,A Fine Blue Line,1
LP-  Laura Pergolizzi,Lost On You,21
Один в каное,Пообіцяй мені,18
The Pretty Reckless,Kill Me,""
Singleton,Breathe In Breathe Out,131
M83 ,Go! (feat. Mai Lan),18
Ingrid Michaelson,Die Alone,13
Whitey,People,18
Fool's Garden,Reason,18
The Kinks,Sunny Afternoon (Alternate Stereo Mix),18
Panivalkova,Крейзі Нікіта,18
Manowar,Die for Metal,7
Katie Melua,If you were a sailboat,2
Egor Grushin,Essential,16
Esthetic Education,With You,18
Esthetic Education,Crucify,18
Egor Grushin,Kaisermarsch,18
Egor Grushin,Beginning,18
KRUT,I Wanna Fly,18
Варвара Визбор,Мюнхгаузен,18
Twenty One Pilots,Heathens,""
Stateless,Bloodstream,18
Snow Patrol,The Weight Of Love,21
Rich Aucoin,Brian Wilson is A.L.i.V.E. (All Living Instantly Vanquish Everything),18
Pablo Nouvelle,Is it ok,18
Low Roar,I'll Keep Coming,1001
Theatre of Tragedy,Summernight City,13
The Puppini Sisters,Wuthering Heights,1001
The Material,Life Vest,""
Nerina Pallot,Someday Soon,2
Ruelle,Live Like Legends,18
Ruelle,Until We Go Down [OST Он - Дракон],21
Thomas Lemmer,Is It Too Late feat. Lena Belgart (Classic Piano Mix),18
francesca michielin,nessun grado di separazione,2
Samra,Miracle(Евровидение 2016 Азербайджан),2
Coldplay,Up&Up,18
Rafferty.,Apple Pie. ,1001
Stanislav Artemyev,Time,18
Doom_4_Soundtrack,The_New_E1M1_At_Dooms_Gate_Cover_remix_FanMade,18
Woodkid,The Deer ,""
8mm,Angel,3
Ramona Falls,Spore,18
Paul Halley,Winter,1001
Alizee,Moi Lolita,18
Тартак,Дрг І Врг,18
Тартак,Мене Вже Немає,18
Julie Thompson with Dragon & Jontron,Loved (Radio Edit),18
Nevermind The Name,On Horus Wings,18
A.Piazzolla,Libertango,13
Erlend Øye,La Prima Estate,1001
Heidevolk,Deemstering,18
Carpenter Brut,Le Perv,""
Carpenter Brut,Escape From Midwich Valley,""
Henry Mancini,Moon River,18
Камиль Сен-Санс,Пляска смерти,16
April March,Chick Habit,2
Sebastien feat. Satellite Empire,Escape (Original Mix),18
Findlay,Your Sister,18
Caravan Palace,Violente valse,1001
Caravan Palace,Dragons,22
Caro Emerald,The Wonderful In You,18
Caravan Palace,Aftermath,18
she & him,why do you let me stay here?,2
Dita Von Teese feat.  Monarchy ,Disintegration,1001
The Velvet Underground,Louise,2
Iyeoka, Simply Falling ,18
Palast Orchester & Max Raabe,Original Charleston,18
Мария Чайковская,Не треба,18
Марія Чайковська,Розкажи,18
Крихітка,Без Імені,1
Carpenter Brut,Turbo Killer,18
La Femme,Télégraphe,18
Explosions In The Sky,magic hours,6
Metric,Soft Rock Star,18
Amanda Palmer,Astronaut,18
Hedged,Every Time I Call,18
Tim Minchin,Some People Have It Worse Than Me,18
монеточка,Ржаной Сухарь,18
Akira Yamaoka feat Mary Elizabeth McGlynn,One More Soul to the Call,""
Monarchy,Living Without You,22
Георг Фридрих Гендель,Сарабанда (Сюита №11),18
Laura Marling,My Manic And I,21
Parov Stelar,Booty Swing (Original),22
Parov Stellar,Catgroove,18
Jody Grind,We've Had It,1
Caravan Palace,Lone Digger,18
Young the Giant ,Cough Syrup,1
Tarja Turunen,In The Picture,7
Macklemore & Ryan﻿ Lewis  ,Thrift Shop (Violin Cover),6
Bruce Dickinson,Abduction,18
Hans Zimmer,"503 (OST ""Ангелы и демоны"" (2009)) [Hans Zimmer]",18
Alice Francis,Shoot Him Down (Parov Stelar Radio Version),18
Caravan Palace,Jolie Coquine,1001
Barbara Rosene with Vince Giordano and His Nighthawks,Lovable and Sweet,1001
Один в каное,Демони,1001
Swingrowers,That's Right,1001
Tarja Turunen,Mystique Voyage,7
Die Form,Cantique,22
Verticals,So Long,6
Серце Дженіфер,Намалю'you (...місяць і сонце...),18
Maria Bekas & Soul,Once In The Street (Nino Katamadze cover),1001
Maria Bekas & Taras Nikolsky (TRUEMAN),"""Gatekeeper"" live (Feist cover)",1001
Tarja Turunen,Never Enough,18
Radiohead,Let Down,2
Chaos Chaos,Do You Feel It?,18
The Kooks,Down,1001
Corde Oblique,Cantastorie,18
The Prodigy,the day is my enemy SF,18
Of Monsters And Men,Thousand Eyes,1
The Radio Dept.,Strange Things Will Happen,18
O. Children,Ruins,21
Nik Page feat. Luminor,Voices From Outer Space,18
The Night VI ,Heroine,1001
Kaleida,Think,18
Low,Step,18
The Poppy Family,There's No Blood in Bone,1
Parov Stelar,Hurt,18
Kila,Dusty Wine Bottle,13
Valravn,Kroppar,18
Karpatt,Des Idées,18
Manowar,Warriors Of The World United,18
Katzenjammer,Lady Marlene,2
Сeltic fantasy,Fairy Dance,18
Demi Lovato ,Cool For The Summer,18
Nerf Herder,Buffy the Vampire Slayer Theme,2
Madonna (2015),Ghosttown ,18
